requirement_id	lane_id	dimension	scope	closure_class	candidate_evidence_count	collector_state	review_disposition	receipt_review_state	remaining_gap_class	completion_criteria	closure_state	authority_state	next_action
AD-001	GC-04	ADAPTATION	ROOT	LOCAL_FOUNDATION_COMPLETION	0	LOCAL_FOUNDATION_RECONFIRMED_CLOSURE_EVIDENCE_OPEN	LOCAL_FOUNDATION_ONLY	LOCAL_FOUNDATION_RECONFIRMED_REVIEW_INPUT_CLOSURE_OPEN	SEMANTIC_DELTA_REVIEW	COMPLETE_FILE_DELTA_PATCH_HOOK_SUBPACKAGE_AND_CONFIGURATION_INVENTORY_REVIEWED	OPEN_EVIDENCE_REQUIRED	OPEN_NO_ACCEPTANCE	ACQUIRE_OR_AUTHOR_BOUNDED_EVIDENCE_THEN_RERUN_COLLECTOR
AD-002	GC-04	ADAPTATION	ROOT	LOCAL_FOUNDATION_COMPLETION	0	LOCAL_FOUNDATION_RECONFIRMED_CLOSURE_EVIDENCE_OPEN	LOCAL_FOUNDATION_ONLY	LOCAL_FOUNDATION_RECONFIRMED_REVIEW_INPUT_CLOSURE_OPEN	UPSTREAM_SEMANTIC_COMPARISON	EVERY_RECIPE_DELTA_SEMANTICALLY_COMPARED_TO_PINNED_UPSTREAM_BASELINE	OPEN_EVIDENCE_REQUIRED	OPEN_NO_ACCEPTANCE	ACQUIRE_OR_AUTHOR_BOUNDED_EVIDENCE_THEN_RERUN_COLLECTOR
AD-003	GC-04	ADAPTATION	ROOT	DIRECT_GAP	0	EVIDENCE_UNAVAILABLE_EXPLICIT_GAP	EXPLICIT_GAP_NO_CANDIDATE	NO_CANDIDATE_EVIDENCE_GAP_CONFIRMED_OPEN	ANDROID_TERMUX_NECESSITY_CLASSIFICATION	EVERY_DELTA_CLASSIFIED_WITH_PLATFORM_OR_PACKAGE_EVIDENCE	OPEN_EVIDENCE_REQUIRED	OPEN_NO_ACCEPTANCE	ACQUIRE_OR_AUTHOR_BOUNDED_EVIDENCE_THEN_RERUN_COLLECTOR
AD-004	GC-04	ADAPTATION	OBJECT	LOCAL_FOUNDATION_COMPLETION	0	LOCAL_FOUNDATION_RECONFIRMED_CLOSURE_EVIDENCE_OPEN	LOCAL_FOUNDATION_ONLY	LOCAL_FOUNDATION_RECONFIRMED_REVIEW_INPUT_CLOSURE_OPEN	SEMANTIC_OBJECT_IMPACT_REVIEW	EVERY_REVIEWED_DELTA_BOUND_TO_NAMED_OBJECT_OR_EXPLICIT_NO_IMPACT	OPEN_EVIDENCE_REQUIRED	OPEN_NO_ACCEPTANCE	ACQUIRE_OR_AUTHOR_BOUNDED_EVIDENCE_THEN_RERUN_COLLECTOR
AD-005	GC-06	ADAPTATION	ROOT	DIRECT_GAP	0	EVIDENCE_UNAVAILABLE_EXPLICIT_GAP	EXPLICIT_GAP_NO_CANDIDATE	NO_CANDIDATE_EVIDENCE_GAP_CONFIRMED_OPEN	ADAPTATION_UPDATE_AND_ROLLBACK_POLICY	ADAPTATION_SUCCESSOR_AND_ROLLBACK_COMPATIBILITY_RULES_DEFINED	OPEN_EVIDENCE_REQUIRED	OPEN_NO_ACCEPTANCE	ACQUIRE_OR_AUTHOR_BOUNDED_EVIDENCE_THEN_RERUN_COLLECTOR
AD-006	GC-04	ADAPTATION	ROOT	LOCAL_FOUNDATION_COMPLETION	0	LOCAL_FOUNDATION_RECONFIRMED_CLOSURE_EVIDENCE_OPEN	LOCAL_FOUNDATION_ONLY	LOCAL_FOUNDATION_RECONFIRMED_REVIEW_INPUT_CLOSURE_OPEN	NO_TOKEN_FULL_SEMANTIC_REVIEW	EVERY_NO_TOKEN_ROOT_FULLY_REVIEWED_WITHOUT_UPSTREAM_EQUIVALENCE_INFERENCE	OPEN_EVIDENCE_REQUIRED	OPEN_NO_ACCEPTANCE	ACQUIRE_OR_AUTHOR_BOUNDED_EVIDENCE_THEN_RERUN_COLLECTOR
BA-001	GC-02	BUILD_ATTESTATION	ROOT	DIRECT_GAP	0	EVIDENCE_UNAVAILABLE_EXPLICIT_GAP	EXPLICIT_GAP_NO_CANDIDATE	NO_CANDIDATE_EVIDENCE_GAP_CONFIRMED_OPEN	DIGEST_BOUND_BUILD_INVOCATION	DIGEST_BOUND_PRODUCING_BUILD_INVOCATION_RECORDED	OPEN_EVIDENCE_REQUIRED	OPEN_NO_ACCEPTANCE	ACQUIRE_OR_AUTHOR_BOUNDED_EVIDENCE_THEN_RERUN_COLLECTOR
BA-002	GC-02	BUILD_ATTESTATION	ROOT	DIRECT_GAP	0	EVIDENCE_UNAVAILABLE_EXPLICIT_GAP	EXPLICIT_GAP_NO_CANDIDATE	NO_CANDIDATE_EVIDENCE_GAP_CONFIRMED_OPEN	IMMUTABLE_BUILD_ENVIRONMENT	PRODUCING_ENVIRONMENT_TOOLCHAIN_DEPENDENCIES_AND_RELEVANT_VARIABLES_RECORDED	OPEN_EVIDENCE_REQUIRED	OPEN_NO_ACCEPTANCE	ACQUIRE_OR_AUTHOR_BOUNDED_EVIDENCE_THEN_RERUN_COLLECTOR
BA-003	GC-03	BUILD_ATTESTATION	ROOT	LOCAL_FOUNDATION_COMPLETION	0	LOCAL_FOUNDATION_RECONFIRMED_CLOSURE_EVIDENCE_OPEN	LOCAL_FOUNDATION_ONLY	LOCAL_FOUNDATION_RECONFIRMED_REVIEW_INPUT_CLOSURE_OPEN	PRODUCING_BUILD_LINK	PACKAGE_AND_NAMED_MEMBER_OUTPUTS_BOUND_TO_PRODUCING_BUILD	OPEN_EVIDENCE_REQUIRED	OPEN_NO_ACCEPTANCE	ACQUIRE_OR_AUTHOR_BOUNDED_EVIDENCE_THEN_RERUN_COLLECTOR
BA-004	GC-02	BUILD_ATTESTATION	ROOT	DIRECT_GAP	0	EVIDENCE_UNAVAILABLE_EXPLICIT_GAP	EXPLICIT_GAP_NO_CANDIDATE	NO_CANDIDATE_EVIDENCE_GAP_CONFIRMED_OPEN	INDEPENDENT_REPRODUCTION_OR_SIGNED_PROVENANCE	INDEPENDENT_REPRODUCTION_OR_INDEPENDENTLY_VERIFIABLE_PROVENANCE_RECORDED	OPEN_EVIDENCE_REQUIRED	OPEN_NO_ACCEPTANCE	ACQUIRE_OR_AUTHOR_BOUNDED_EVIDENCE_THEN_RERUN_COLLECTOR
BA-005	GC-06	BUILD_ATTESTATION	ROOT	DIRECT_GAP	0	EVIDENCE_UNAVAILABLE_EXPLICIT_GAP	EXPLICIT_GAP_NO_CANDIDATE	NO_CANDIDATE_EVIDENCE_GAP_CONFIRMED_OPEN	SUCCESSOR_AND_ROLLBACK_ATTESTATION_CONTINUITY	SUCCESSOR_AND_ROLLBACK_ATTESTATION_CONTINUITY_DEFINED	OPEN_EVIDENCE_REQUIRED	OPEN_NO_ACCEPTANCE	ACQUIRE_OR_AUTHOR_BOUNDED_EVIDENCE_THEN_RERUN_COLLECTOR
CF-001	GC-05	CONCRETE_FILENAME_DRIFT	OBJECT	DIRECT_GAP	0	EVIDENCE_UNAVAILABLE_EXPLICIT_GAP	EXPLICIT_GAP_NO_CANDIDATE	NO_CANDIDATE_EVIDENCE_GAP_CONFIRMED_OPEN	SONAME_OR_STABLE_ALIAS_CONSUMER_BINDING	BOUNDED_CONSUMER_OR_LOADER_EVIDENCE_CONFIRMS_SONAME_OR_STABLE_ALIAS_BINDING	OPEN_EVIDENCE_REQUIRED	OPEN_NO_ACCEPTANCE	ACQUIRE_OR_AUTHOR_BOUNDED_EVIDENCE_THEN_RERUN_COLLECTOR
CF-002	GC-05	CONCRETE_FILENAME_DRIFT	OBJECT	LOCAL_FOUNDATION_COMPLETION	0	LOCAL_FOUNDATION_RECONFIRMED_CLOSURE_EVIDENCE_OPEN	LOCAL_FOUNDATION_ONLY	LOCAL_FOUNDATION_RECONFIRMED_REVIEW_INPUT_CLOSURE_OPEN	CONSUMER_BINDING_AND_DRIFT_POLICY	EXACT_ALIAS_TARGET_CHAIN_REVIEWED_WITH_CONSUMER_AND_CONTINUITY_DEPENDENCIES	OPEN_EVIDENCE_REQUIRED	OPEN_NO_ACCEPTANCE	ACQUIRE_OR_AUTHOR_BOUNDED_EVIDENCE_THEN_RERUN_COLLECTOR
CF-003	GC-06	CONCRETE_FILENAME_DRIFT	OBJECT	DIRECT_GAP	0	EVIDENCE_UNAVAILABLE_EXPLICIT_GAP	EXPLICIT_GAP_NO_CANDIDATE	NO_CANDIDATE_EVIDENCE_GAP_CONFIRMED_OPEN	SUCCESSOR_FILENAME_DRIFT_POLICY	SUCCESSOR_CONCRETE_TARGET_DRIFT_VALIDATION_POLICY_DEFINED	OPEN_EVIDENCE_REQUIRED	OPEN_NO_ACCEPTANCE	ACQUIRE_OR_AUTHOR_BOUNDED_EVIDENCE_THEN_RERUN_COLLECTOR
