prerequisite_id	category	review_state	evidence	remaining_gap	closure_action	authority_effect	prohibited_inference
INT-001	TARGET_POLICY	SATISFIED	SELECTED-TARGET-MANIFEST-ACCEPT-001;82_UNIQUE_ROWS;ZERO_COLLISIONS	-	RETAIN_ACCEPTED_POLICY	NO_NEW_AUTHORITY	TARGET_POLICY_ACCEPTANCE_IS_NOT_POPULATION
INT-002	ALIAS_RESOLUTION	SATISFIED	41_OF_41_SONAME_ALIASES_RESOLVE_TO_ACCEPTED_CONCRETE_ROWS	-	RETAIN_ALIAS_RELATIONS	NO_NEW_AUTHORITY	ALIAS_RESOLUTION_IS_NOT_SYMLINK_CREATION
INT-003	ATOMIC_FAMILIES	SATISFIED	AT_SPI2_CAIRO_PANGO_AND_GDK_GTK_FAMILIES_COMPLETE	-	PRESERVE_WHOLE_FAMILY_UPDATE_AND_ROLLBACK	NO_NEW_AUTHORITY	ATOMICITY_REVIEW_IS_NOT_MATERIALIZATION
INT-004	SUPPLY_BINDINGS	BLOCKED	14_QUALIFIED_READ_ONLY_BINDING_INPUTS;27_RESULT_COORDINATE_GAPS	27_EXACT_RETAINED_RESULT_COORDINATES_AND_ACQUISITION_CONTRACTS_MISSING	CLOSE_RETAINED_RESULT_COORDINATES_WITHOUT_ACQUIRING_BYTES	INTERVENTION_RETAINED	ARTIFACT_AND_MEMBER_DIGESTS_ALONE_DO_NOT_AUTHORIZE_POPULATION
INT-005	GENERATION_ROOT	OPEN	NO_ACCEPTED_ABSOLUTE_IMMUTABLE_GENERATION_ROOT	GENERATION_ROOT_AND_OWNER_BOUNDARY_MISSING	DEFINE_NON_LIVE_GENERATION_ROOT_AND_PROTECTED_PATH_EXCLUSIONS	INTERVENTION_RETAINED	TARGET_RELATIVE_PATHS_DO_NOT_SELECT_A_FILESYSTEM_ROOT
INT-006	ATOMIC_PUBLICATION	OPEN	NO_SAME_FILESYSTEM_STAGING_OR_ATOMIC_RENAME_PROOF	STAGING_PUBLICATION_AND_INTERRUPTION_BOUNDARY_MISSING	REVIEW_SAME_FILESYSTEM_STAGING_AND_WHOLE_GENERATION_PUBLICATION	INTERVENTION_RETAINED	IMMUTABLE_ROWS_DO_NOT_PROVE_ATOMIC_PUBLICATION
INT-007	SPACE_AND_OWNERSHIP	OPEN	NO_TOTAL_BYTE_BUDGET_FREE_SPACE_MARGIN_OR_MODE_OWNER_FEASIBILITY_RECORD	RESOURCE_AND_PERMISSION_PREFLIGHT_MISSING	REVIEW_BYTE_BUDGET_FREE_SPACE_OWNER_AND_MODE_PREFLIGHT	INTERVENTION_RETAINED	TERMUX_WRITABILITY_MUST_NOT_BE_ASSUMED
INT-008	VERIFICATION_RECEIPT	OPEN	NO_PRE_PUBLICATION_WHOLE_GENERATION_DIGEST_ALIAS_ELF_AND_LOADER_RECEIPT_CONTRACT	MATERIALIZATION_RECEIPT_SCHEMA_MISSING	DEFINE_READ_ONLY_POST_STAGE_VERIFICATION_AND_RECEIPT_CONTRACT	INTERVENTION_RETAINED	SUCCESSFUL_COPY_COUNT_IS_NOT_VERIFICATION
INT-009	ROLLBACK_SELECTOR	OPEN	NO_ACCEPTED_SELECTOR_PUBLICATION_OR_PRIOR_GENERATION_ROLLBACK_PROTOCOL	SELECTOR_AND_ROLLBACK_PROTOCOL_MISSING	REVIEW_ATOMIC_SELECTOR_PUBLICATION_AND_WHOLE_GENERATION_ROLLBACK	INTERVENTION_RETAINED	ROLLBACK_MUST_NOT_DELETE_OR_REWRITE_LIVE_FILES_IN_PLACE
INT-010	FAILURE_CLEANUP_OBSERVABILITY	OPEN	NO_CRASH_RESUME_OR_ORPHAN_STAGING_OBSERVABILITY_CONTRACT	INTERRUPTION_CLEANUP_AND_OBSERVABILITY_MISSING	DEFINE_IDEMPOTENT_FAILURE_RECEIPTS_AND_ORPHAN_STAGING_POLICY	INTERVENTION_RETAINED	FAILURE_CLEANUP_MUST_NOT_TOUCH_PACKAGE_DB_OR_LIVE_GLIBC_PREFIX
