finding_id	severity	scope	current_state	audit_judgment	required_correction	blocking_effect
AUD-0135-001	HIGH	GLOBAL_COVERAGE	59 priority selected/reference objects are dispositioned	59/59 is complete only for the bounded priority subset, not for the complete selected/reference/application-domain set	Add a coverage ledger with explicit denominators for all semantic objects, selected generation content, protected-world references, app-local references, application payload, and non-priority capabilities	Blocks intervention lift and any complete base/profile claim
AUD-0135-002	HIGH	APPLICATION_IDENTITY	Current docs call 96 generation contents application-local identities	The 96 first-generation contents are selected external/data generation identities, not application-local payload identities	Use FIRST_GENERATION_CONTENT_IDENTITIES for 96; track 11 app-local reference identities and application payload/launcher supply identity separately	Blocks truthful application composition and target ownership
AUD-0135-003	HIGH	SEMANTIC_AUTHORITY	Exact Termux artifacts and selected members are marked accepted object-scoped authority	Exact artifact/member supply authority does not by itself complete final semantic source choice for generic or nominal platform providers	Separate semantic role, exact supply artifact, adaptation evidence, candidate-source comparison, and provisional/final provider authority states	Blocks final provider authority and successor inclusion decisions
AUD-0135-004	HIGH	X11_XCB_CLASSIFICATION	All selected X11/XCB SONAMEs are classified PLATFORM_INTEGRATION_PROVIDER	Only objects with evidenced Termux/Android adaptation or host-integration responsibility qualify automatically; package location and Termux recipe origin are insufficient	Add object/package adaptation-evidence fields; retain exact artifacts while marking platform-versus-generic semantic authority provisional where adaptation is not demonstrated	Blocks final X11/XCB authority class, not the exact member locks
AUD-0135-005	HIGH	LIBCAP_CLASSIFICATION	libcap.so.2 is classified PLATFORM_INTEGRATION_PROVIDER	Linux capability semantics on Android do not alone prove a Termux integration provider; current evidence does not state a concrete adaptation mechanism	Downgrade to PLATFORM_OR_GENERIC_PROVISIONAL until recipe/patch/behavior evidence identifies the integration responsibility	Blocks final GTK/device provider composition
AUD-0135-006	HIGH	ALIAS_AUTHORITY	93 package-provided aliases are called required aliases	Package-provided alias identity is supply evidence; unversioned linker names such as libX11.so, libexpat.so, and libstdc++.so are not automatically runtime requirements	Classify aliases as SONAME_RUNTIME, PROVEN_DLOPEN_RUNTIME, LINKER_DEVEL, INTERNAL_RELATIVE, or UNRESOLVED; include only runtime-authorized aliases in target composition	Blocks extraction target alias population
AUD-0135-007	MEDIUM	TARGET_MODE	Member mode is locked from the artifact and target mode is unspecified	Artifact mode is supply metadata and must not silently become immutable store or deployed target mode	Add target mode/ownership policy independent of artifact member mode and validate executable/read-only requirements by target domain	Blocks populated extraction target contract
AUD-0135-008	MEDIUM	PROFILE_MODEL	Provider lock sets are named profiles with parent inheritance	They are provider fragments and composition pressure, not deployable runtime profiles or installation inheritance	Introduce separate object authority registry, provider-fragment membership edges, and final application composition; keep parent_profiles non-materializing	Blocks consuming profile definitions directly as a materializer input
AUD-0135-009	MEDIUM	SHARED_OBJECTS	59 unique objects become 63 profile memberships and 35 profile/artifact locks	Shared membership is valid, but extraction and update ownership need one canonical object/artifact identity with many consumer edges	Deduplicate supply/object registries by artifact SHA and content SHA; represent profile membership as references	Blocks duplicate extraction/update semantics
AUD-0135-010	MEDIUM	WORLD_DATA_SPLIT	Locale data and world core objects share world-substrate-selected	Common artifact provenance does not erase distinct semantic class and lifecycle	Split target-domain ownership for WORLD_CORE_SUBSTRATE and glibc-coupled DATA_CAPABILITY_PROVIDER while allowing one artifact supply transaction	Blocks honest update/rollback and target-domain rules
AUD-0135-011	HIGH	SOURCE_SUPPLY_BINDING	Recipe tree, repository index, artifact SHA, and live equivalence are present	This proves bounded recipe candidates and exact binary supply identity, but not universal artifact-to-recipe build attestation or future acquisition availability	Add artifact acquisition/retention identity, repository index/signature identity, and artifact-to-recipe binding state for every provider; keep libwayland explicitly unresolved	Blocks clean reconstruction, not current exact binary use
AUD-0135-012	HIGH	UNRESOLVED_LEDGER	Eight authority groups are listed	D-Bus, GTK/GLib/GIO/Pango/ATK core and other non-priority generic capability authorities are mentioned as gaps but lack a complete dedicated authority issue	Add NON_PRIORITY_GENERIC_CAPABILITIES authority group and map every unreviewed capability/object to an issue	Blocks complete intervention ledger
AUD-0135-013	MEDIUM	BASE_XCB_BOUNDARY	0133 narrative places libxcb-render/libxcb-shm under graphics conditional while base ledgers lock them as accepted base	The authority/profile narrative is internally ambiguous	Decide whether passive base requires them; then align 0133 interpretation, object ledger, and profile membership without relying on parent inheritance ambiguity	Blocks stable base-provider definition
AUD-0135-014	HIGH	NEXT_STATE	Next state combines closing all base gaps with defining extraction/target contract	A target contract schema can be designed now, but populated target paths and extractable manifests depend on unresolved authority, alias, world, application, and data decisions	Change next state to normalize authority coverage and lock semantics, define target-domain/layout schema only, then populate it after base authority closure	Blocks direct transition to extractable manifests
