ordinal	field	layer	required	allowed_values	source_seed	decision_rule
1	row_id	BOTH	YES	stable repository-local identifier	NEW	Must not be derived only from a mutable absolute path
2	row_type	BOTH	YES	CAPABILITY|ELF_OBJECT|APP_LOCAL_OBJECT|DATA_OBJECT|GENERATED_DATA|MUTABLE_STATE|CACHE_CLASS|DEVICE_RELATION|TOOLCHAIN_COMPONENT|ORACLE_STATE|PACKAGE_SURFACE	NEW	Choose the concrete responsibility represented by the row
3	capability_group	BOTH	YES	one or more semicolon-separated group_id values from capability-groups.tsv	B7 capability membership plus 0117 grouping	Capability-first grouping; may overlap but may not be package-name-only
4	object_or_capability	BOTH	YES	free text	B7/B1 or new capability label	Human-readable exact object or semantic capability
5	current_selected_or_reference_path	MEMBER	CONDITIONAL	absolute observed path or NOT_APPLICABLE	B1/B7/B9/B10	Observed path is evidence, not semantic authority
6	current_package_or_source_provenance	BOTH	YES	package/version/artifact/source description	B1/B7/0018/N2 package inventory	Separate package ownership from final provider authority
7	historical_semantic_class	MEMBER	CONDITIONAL	retained historical class or NOT_APPLICABLE	B1/B7	Preserve historical evidence without rewriting it
8	historical_action	MEMBER	CONDITIONAL	retained B7 action or NOT_APPLICABLE	B7	Never promote historical materialization action automatically
9	semantic_class	BOTH	YES	WORLD_CORE_SUBSTRATE|PLATFORM_INTEGRATION_PROVIDER|GENERIC_SHARED_CAPABILITY_PROVIDER|APPLICATION_LOCAL|APPLICATION_DOMAIN_SUPPLEMENT|DATA_CAPABILITY_PROVIDER|TOOLCHAIN_ONLY|ORACLE_ONLY|MUTABLE_OR_CACHE|UNRESOLVED	NEW AUTHORITY JUDGMENT	UNRESOLVED is preferred over path-first inference
10	minimum_valid_scope	BOTH	YES	WORLD|PLATFORM_INTEGRATION|SHARED_CAPABILITY|APPLICATION_FAMILY|APPLICATION_DOMAIN|APPLICATION_LOCAL|DATA_CAPABILITY|BUILD_SUPPLY|ORACLE_SCENARIO|MUTABLE_CACHE|UNRESOLVED	0117 plus evidence	Use the narrowest scope that owns the responsibility
11	application_domains	BOTH	YES	semicolon-separated domain ids or NONE	B1/B2/B7/B10	Record actual or explicitly proposed consumers
12	app_local_origin_relation	BOTH	YES	PRESERVE_ORIGIN|NO_ORIGIN_RELATION|REPLACEMENT_REQUIRES_EVIDENCE|UNRESOLVED plus evidence	B1 ELF metadata and AppDir evidence	Valid upstream locality is preserved by default
13	content_sha256	MEMBER	CONDITIONAL	SHA-256 or NOT_APPLICABLE	B1/B7/B9/B10/N2	Content identity is independent of path and authority
14	elf_build_id	MEMBER	CONDITIONAL	Build ID|ABSENT|NOT_APPLICABLE|UNKNOWN	N2 ELF inventory	Retain separately from package version and SHA-256
15	lookup_name	MEMBER	CONDITIONAL	ELF lookup name|NOT_APPLICABLE|UNKNOWN	B3/B7/N2	Use for collision and consumer resolution, not authority
16	soname	MEMBER	CONDITIONAL	SONAME|ABSENT|NOT_APPLICABLE|UNKNOWN	B3/B7/N2	Record ABI-facing identity when present
17	candidate_source_termux_glibc_package	BOTH	YES	UNASSESSED|NO_KNOWN_CANDIDATE|CANDIDATE_IDENTIFIED|ARTIFACT_IDENTIFIED|BYTE_IDENTITY_PROVEN|BEHAVIOR_PROVEN|REQUIRES_DISCRIMINATOR|REJECTED_WITH_REASON plus evidence	0018/N2	Repository or prefix presence alone is insufficient
18	candidate_source_exact_debian_artifact	BOTH	YES	UNASSESSED|NO_KNOWN_CANDIDATE|CANDIDATE_IDENTIFIED|ARTIFACT_IDENTIFIED|BYTE_IDENTITY_PROVEN|BEHAVIOR_PROVEN|REQUIRES_DISCRIMINATOR|REJECTED_WITH_REASON plus evidence	B1/B7/0115/N2	Must identify an exact artifact independent of mutable rootfs paths
