group_id	capability_group	initial_row_type	seed_evidence	initial_semantic_pressure	minimum_scope_pressure	application_domains	current_state	unresolved_discriminating_evidence
world.glibc.core	world loader libc and tightly coupled runtime	CAPABILITY	B1 WORLD_SUBSTRATE_ELF; 0018 dpkg glibc surface; ABI incident records	WORLD_CORE_SUBSTRATE	WORLD	all glibc application domains	OPEN	Complete exact tightly coupled object/config surface and exclude generic prefix providers
platform.x11-xcb.termux	Termux-aware X11 xcb and host integration	CAPABILITY	B1/B2 prefix X11 objects; passive B10 maps; Xau Xdmcp RPATH evidence	PLATFORM_INTEGRATION_PROVIDER	PLATFORM_INTEGRATION	obsidian; vscode; future glibc X11 domains	OPEN	Identify material Termux/Android patches and compare exact Termux-glibc Debian upstream candidates
platform.device-udev.termux	Termux-aware device discovery and udev-facing integration	CAPABILITY	B4/B7 electron.device.udev membership; current prefix provider evidence	PLATFORM_INTEGRATION_PROVIDER	PLATFORM_INTEGRATION	obsidian; vscode; device-aware glibc domains	OPEN	Determine Android/Termux adaptation and whether generic upstream or native bridge authority is valid
shared.dbus	D-Bus client and related shared capability	CAPABILITY	selected D-Bus pilot; B7 selected Obsidian membership	GENERIC_SHARED_CAPABILITY_PROVIDER	SHARED_CAPABILITY	obsidian; vscode; other glibc GUI domains	OPEN	Compare Termux-glibc exact Debian upstream/project candidates and endpoint policy
shared.gtk-stack	GTK GLib GIO Pango ATK GUI stack	CAPABILITY	B4/B7 electron.gui.gtk3 membership	GENERIC_SHARED_CAPABILITY_PROVIDER	SHARED_CAPABILITY	obsidian; vscode Electron family	OPEN	Partition subcapabilities and establish ABI/version coupling and candidate-source rationale
shared.font-stack	fontconfig freetype harfbuzz and shaping stack	CAPABILITY	B1/B2/B7 static provider evidence; fontconfig cache evidence	GENERIC_SHARED_CAPABILITY_PROVIDER	SHARED_CAPABILITY	all glibc GUI and text domains	OPEN	Separate libraries configuration cache and font data; compare candidate sources and version coupling
data.fonts	font files coverage and fallback contract	CAPABILITY	B5/B7 four Debian-derived fonts; 0114/0115 native-font pressure	DATA_CAPABILITY_PROVIDER	DATA_CAPABILITY	obsidian; vscode; future workstation domains	OPEN	Prove native-space Latin monospace Bold Korean CJK math and fallback contract
data.locale	glibc locale data and selection policy	CAPABILITY	B1/B2/B7 12 prefix locale objects	DATA_CAPABILITY_PROVIDER	DATA_CAPABILITY	glibc application domains	OPEN	Determine glibc-version coupling exact authority and whether forced LC_ALL remains justified
data.gsettings	GSettings source schemas and generated aggregate	CAPABILITY	B6 reproduction; B7 schema contract; B9 generated object	DATA_CAPABILITY_PROVIDER	DATA_CAPABILITY	obsidian and GTK consumers	OPEN	Lock exact schema source artifacts and compiler identity independent of mutable rootfs paths
shared.pixbuf-codecs	gdk-pixbuf runtime and image loader modules	CAPABILITY	0110 pixbuf inventory; Vault-open failure; B7 manifest absence	GENERIC_SHARED_CAPABILITY_PROVIDER	SHARED_CAPABILITY	obsidian interactive GTK chooser	OPEN	Run bounded cache module discriminator and identify minimum codecs plus source authority
data.icons	icon themes and fallback images	CAPABILITY	0110 icon-theme inventory and hicolor failure	DATA_CAPABILITY_PROVIDER	DATA_CAPABILITY	obsidian interactive GTK chooser and GUI domains	OPEN	Separate minimum hicolor/index/data requirement from pixbuf module behavior
data.mime	shared MIME database	CAPABILITY	0110 MIME inventory	DATA_CAPABILITY_PROVIDER	DATA_CAPABILITY	GTK file chooser and desktop integration consumers	OPEN	Determine whether MIME data affects tested interaction and identify minimum files/source
shared.nss	NSS NSPR security modules and database support	CAPABILITY	B2 five dynamic roots; B7 four required dynamic objects plus static NSS membership	GENERIC_SHARED_CAPABILITY_PROVIDER	SHARED_CAPABILITY	obsidian Electron main process; other Chromium/Electron domains	OPEN	Establish module discovery contract ABI coupling exact artifact candidates and update gates
shared.tls	TLS libraries bindings and CA trust	CAPABILITY	0017 TLS environment inventory; B7 static closure	GENERIC_SHARED_CAPABILITY_PROVIDER	SHARED_CAPABILITY	obsidian; vscode; networked glibc domains	OPEN	Separate library provider from native CA data and consumer-specific bindings
shared.audio	ALSA and audio capability	CAPABILITY	B4/B7 electron.audio.alsa membership	GENERIC_SHARED_CAPABILITY_PROVIDER	SHARED_CAPABILITY	Electron audio consumers	OPEN	Confirm demanded workload behavior and compare Termux-glibc Debian upstream candidates
shared.printing	CUPS and printing capability	CAPABILITY	B4/B7 electron.printing.cups membership	GENERIC_SHARED_CAPABILITY_PROVIDER	SHARED_CAPABILITY	Electron printing consumers	OPEN	Confirm minimum scope and whether runtime or oracle-only for accepted workstation workloads
shared.compression-archive	compression and archive libraries	CAPABILITY	B1/B2/B7 static and dynamic support objects	GENERIC_SHARED_CAPABILITY_PROVIDER	SHARED_CAPABILITY	multiple provider and application domains	OPEN	Attribute consumers and ABI coupling before choosing shared authority
shared.compiler-runtime	compiler runtime support such as libgcc_s and libstdc++ when runtime-demanded	CAPABILITY	B4/B7 runtime.compiler-support membership; graphics feature support evidence	GENERIC_SHARED_CAPABILITY_PROVIDER	SHARED_CAPABILITY	selected application/provider domains	OPEN	Separate runtime-demanded support from compiler toolchain and establish ABI/update coupling
