input_id	input_class	source_path	source_sha256	required_identity_or_count	validation_rule	consumption_mode	failure_action	current_mutation_effect	authority_effect	prohibited_inference
MAT-IN-001	COMPOSITION_MEMBERS	experiments/glibc/selected-obsidian-provider-authority/review/selected-provider-composition-members.tsv	ce60f71248db0568f52a1230b086f6af272555fff6187a3ca1a76c83014e2e70	42_ROWS_41_INCLUDED_ONE_DEFERRED	VERIFY_ACCEPTED_MEMBER_IDENTITIES_AND_FOUR_DECLARED_ATOMIC_FAMILIES	READ_ONLY_CANONICAL_INPUT_LOCKED_BY_SHA256_BEFORE_ANY_FUTURE_EXECUTION	ABORT_BEFORE_LOCK_ACQUISITION_PATH_CREATION_BYTE_READ_OR_MUTATION	NONE	READ_ONLY_DESIGN_INPUT_ONLY	SOURCE_LOCK_DOES_NOT_AUTHORIZE_LOCALIZATION_DOWNLOAD_EXTRACTION_ROOT_CREATION_OBJECT_WRITE_GENERATION_WRITE_SELECTOR_CHANGE_POPULATION_OR_ACTIVATION
MAT-IN-002	COMPOSITION_ACCEPTANCE	experiments/glibc/selected-obsidian-provider-authority/review/selected-provider-composition-boundary-acceptance.tsv	4a6c483c3471a7243cafcaa1eb3ce1a15082bb6562c7299aa66689a4e565fa19	SELECTED-COMPOSITION-ACCEPT-001	VERIFY_ACCEPTED_BOUNDED_COMPLETE_SELECTED_PROVIDER_COMPOSITION	READ_ONLY_CANONICAL_INPUT_LOCKED_BY_SHA256_BEFORE_ANY_FUTURE_EXECUTION	ABORT_BEFORE_LOCK_ACQUISITION_PATH_CREATION_BYTE_READ_OR_MUTATION	NONE	READ_ONLY_DESIGN_INPUT_ONLY	SOURCE_LOCK_DOES_NOT_AUTHORIZE_LOCALIZATION_DOWNLOAD_EXTRACTION_ROOT_CREATION_OBJECT_WRITE_GENERATION_WRITE_SELECTOR_CHANGE_POPULATION_OR_ACTIVATION
MAT-IN-003	TARGET_MANIFEST	experiments/glibc/selected-obsidian-provider-authority/review/selected-target-manifest.tsv	1ec7f427599437bc0fc22df6ff171294a490296ef900f490b8c36f86c00ee63b	82_ROWS_41_REGULAR_41_ALIAS_ZERO_POPULATED	VERIFY_NORMALIZED_RELATIVE_PATHS_NODE_TYPES_AND_ZERO_COLLISIONS	READ_ONLY_CANONICAL_INPUT_LOCKED_BY_SHA256_BEFORE_ANY_FUTURE_EXECUTION	ABORT_BEFORE_LOCK_ACQUISITION_PATH_CREATION_BYTE_READ_OR_MUTATION	NONE	READ_ONLY_DESIGN_INPUT_ONLY	SOURCE_LOCK_DOES_NOT_AUTHORIZE_LOCALIZATION_DOWNLOAD_EXTRACTION_ROOT_CREATION_OBJECT_WRITE_GENERATION_WRITE_SELECTOR_CHANGE_POPULATION_OR_ACTIVATION
MAT-IN-004	TARGET_OBJECT_BINDINGS	experiments/glibc/selected-obsidian-provider-authority/review/selected-target-manifest-object-bindings.tsv	719484decceadd38d0c0a76c336d838f98f672eb6e27e26ad96143e54767ce60	41_CONTENT_ADDRESSED_OBJECT_BINDINGS	VERIFY_MEMBER_SHA_SONAME_COMPOSITION_AND_TARGET_RELATION	READ_ONLY_CANONICAL_INPUT_LOCKED_BY_SHA256_BEFORE_ANY_FUTURE_EXECUTION	ABORT_BEFORE_LOCK_ACQUISITION_PATH_CREATION_BYTE_READ_OR_MUTATION	NONE	READ_ONLY_DESIGN_INPUT_ONLY	SOURCE_LOCK_DOES_NOT_AUTHORIZE_LOCALIZATION_DOWNLOAD_EXTRACTION_ROOT_CREATION_OBJECT_WRITE_GENERATION_WRITE_SELECTOR_CHANGE_POPULATION_OR_ACTIVATION
MAT-IN-005	TARGET_ALIAS_BINDINGS	experiments/glibc/selected-obsidian-provider-authority/review/selected-target-manifest-alias-bindings.tsv	39bbac0376e31b0b792fc6c3af044e620472128337b2d06683e6d57846a2383b	41_RESOLVED_RELATIVE_SONAME_ALIASES	VERIFY_ALIAS_TO_CONCRETE_RELATION_AND_NO_PARENT_OR_ABSOLUTE_TARGET	READ_ONLY_CANONICAL_INPUT_LOCKED_BY_SHA256_BEFORE_ANY_FUTURE_EXECUTION	ABORT_BEFORE_LOCK_ACQUISITION_PATH_CREATION_BYTE_READ_OR_MUTATION	NONE	READ_ONLY_DESIGN_INPUT_ONLY	SOURCE_LOCK_DOES_NOT_AUTHORIZE_LOCALIZATION_DOWNLOAD_EXTRACTION_ROOT_CREATION_OBJECT_WRITE_GENERATION_WRITE_SELECTOR_CHANGE_POPULATION_OR_ACTIVATION
MAT-IN-006	TARGET_POLICY_ACCEPTANCE	experiments/glibc/selected-obsidian-provider-authority/review/selected-target-manifest-boundary-acceptance.tsv	4864333fab32ade96e097184ff0ef3d4a2a24d47a77aa7d5450edd9c1bca67be	SELECTED-TARGET-MANIFEST-ACCEPT-001	VERIFY_ACCEPTED_BOUNDED_NON_MUTATING_TARGET_POLICY	READ_ONLY_CANONICAL_INPUT_LOCKED_BY_SHA256_BEFORE_ANY_FUTURE_EXECUTION	ABORT_BEFORE_LOCK_ACQUISITION_PATH_CREATION_BYTE_READ_OR_MUTATION	NONE	READ_ONLY_DESIGN_INPUT_ONLY	SOURCE_LOCK_DOES_NOT_AUTHORIZE_LOCALIZATION_DOWNLOAD_EXTRACTION_ROOT_CREATION_OBJECT_WRITE_GENERATION_WRITE_SELECTOR_CHANGE_POPULATION_OR_ACTIVATION
MAT-IN-007	INDEXED_SUPPLY_EVIDENCE	experiments/glibc/selected-obsidian-provider-authority/review/selected-target-indexed-replacement-review.tsv	96be91c45420a05a45b88c9ee1b5b80d26e4ef3b0f0a59376eadb82a1db1b6c3	41_ROWS_ZERO_COORDINATE_OR_INDEX_GAPS	VERIFY_CLOSURE_KIND_RESULT_DIGEST_INDEX_DIGEST_AND_STATUS_SURFACE_BOUNDARY	READ_ONLY_CANONICAL_INPUT_LOCKED_BY_SHA256_BEFORE_ANY_FUTURE_EXECUTION	ABORT_BEFORE_LOCK_ACQUISITION_PATH_CREATION_BYTE_READ_OR_MUTATION	NONE	READ_ONLY_DESIGN_INPUT_ONLY	SOURCE_LOCK_DOES_NOT_AUTHORIZE_LOCALIZATION_DOWNLOAD_EXTRACTION_ROOT_CREATION_OBJECT_WRITE_GENERATION_WRITE_SELECTOR_CHANGE_POPULATION_OR_ACTIVATION
MAT-IN-008	HISTORICAL_SIZE_CENSUS	experiments/glibc/selected-obsidian-provider-authority/review/selected-target-member-size-census.tsv	19eb2f3ea445ce8a55b1664b94c842d2544f4d12a3297e0c4aaa6cc0d4cd7bea	40_EXACT_ONE_HISTORICAL_PIXMAN_OPEN	VERIFY_APPEND_ONLY_HISTORY_AND_DO_NOT_REWRITE_V109	READ_ONLY_CANONICAL_INPUT_LOCKED_BY_SHA256_BEFORE_ANY_FUTURE_EXECUTION	ABORT_BEFORE_LOCK_ACQUISITION_PATH_CREATION_BYTE_READ_OR_MUTATION	NONE	READ_ONLY_DESIGN_INPUT_ONLY	SOURCE_LOCK_DOES_NOT_AUTHORIZE_LOCALIZATION_DOWNLOAD_EXTRACTION_ROOT_CREATION_OBJECT_WRITE_GENERATION_WRITE_SELECTOR_CHANGE_POPULATION_OR_ACTIVATION
MAT-IN-009	PIXMAN_SIZE_EVIDENCE	experiments/glibc/selected-obsidian-provider-authority/review/selected-target-pixman-size-evidence.tsv	4c8b1535c46ff57e8ca6564382f8e2b7605b944ae5c8f0c50111a8e834159dcd	ONE_EXACT_460920_BYTE_PIXMAN_ROW	VERIFY_EXACT_RESULT_OUTER_SHA_MEMBER_PATH_SIZE_AND_MEMBER_SHA	READ_ONLY_CANONICAL_INPUT_LOCKED_BY_SHA256_BEFORE_ANY_FUTURE_EXECUTION	ABORT_BEFORE_LOCK_ACQUISITION_PATH_CREATION_BYTE_READ_OR_MUTATION	NONE	READ_ONLY_DESIGN_INPUT_ONLY	SOURCE_LOCK_DOES_NOT_AUTHORIZE_LOCALIZATION_DOWNLOAD_EXTRACTION_ROOT_CREATION_OBJECT_WRITE_GENERATION_WRITE_SELECTOR_CHANGE_POPULATION_OR_ACTIVATION
MAT-IN-010	RESOURCE_BUDGET	experiments/glibc/selected-obsidian-provider-authority/review/selected-target-resource-budget-metadata.tsv	108e470c1dd940e5e1dad9d88e38c16c9a123ce2ce75b97cf38aca915369c398	29047112_MEMBER_BYTES_1048576_RECEIPT_RESERVATION_59142800_PREFLIGHT	VERIFY_100_PERCENT_MARGIN_AND_OVERFLOW_ABORT_POLICY	READ_ONLY_CANONICAL_INPUT_LOCKED_BY_SHA256_BEFORE_ANY_FUTURE_EXECUTION	ABORT_BEFORE_LOCK_ACQUISITION_PATH_CREATION_BYTE_READ_OR_MUTATION	NONE	READ_ONLY_DESIGN_INPUT_ONLY	SOURCE_LOCK_DOES_NOT_AUTHORIZE_LOCALIZATION_DOWNLOAD_EXTRACTION_ROOT_CREATION_OBJECT_WRITE_GENERATION_WRITE_SELECTOR_CHANGE_POPULATION_OR_ACTIVATION
MAT-IN-011	GENERATION_CONTRACTS	experiments/glibc/selected-obsidian-provider-authority/review/selected-target-generation-root-contract-review.tsv	e8121ea78f0d34568b0f80d78f1efb4084bce00e93af9ccfa6acbd9f5ac596a5	SEVEN_BOUNDED_NON_LIVE_CONTRACTS	VERIFY_ROOT_LAYOUT_ATOMIC_PUBLICATION_SPACE_RECEIPT_ROLLBACK_AND_CLEANUP	READ_ONLY_CANONICAL_INPUT_LOCKED_BY_SHA256_BEFORE_ANY_FUTURE_EXECUTION	ABORT_BEFORE_LOCK_ACQUISITION_PATH_CREATION_BYTE_READ_OR_MUTATION	NONE	READ_ONLY_DESIGN_INPUT_ONLY	SOURCE_LOCK_DOES_NOT_AUTHORIZE_LOCALIZATION_DOWNLOAD_EXTRACTION_ROOT_CREATION_OBJECT_WRITE_GENERATION_WRITE_SELECTOR_CHANGE_POPULATION_OR_ACTIVATION
MAT-IN-012	DESIGN_ONLY_INTERVENTION_LIFT	experiments/glibc/selected-obsidian-provider-authority/review/selected-target-population-intervention-lift-review.tsv	2a8eac8785ee30c02e5859ba91c90859c6ec2a7c91a9b22fd6c9993f998310a8	TEN_SATISFIED_FOR_READ_ONLY_DESIGN_REVIEW	VERIFY_NO_RUNTIME_AUTHORITY_WIDENING	READ_ONLY_CANONICAL_INPUT_LOCKED_BY_SHA256_BEFORE_ANY_FUTURE_EXECUTION	ABORT_BEFORE_LOCK_ACQUISITION_PATH_CREATION_BYTE_READ_OR_MUTATION	NONE	READ_ONLY_DESIGN_INPUT_ONLY	SOURCE_LOCK_DOES_NOT_AUTHORIZE_LOCALIZATION_DOWNLOAD_EXTRACTION_ROOT_CREATION_OBJECT_WRITE_GENERATION_WRITE_SELECTOR_CHANGE_POPULATION_OR_ACTIVATION
MAT-IN-013	VERIFICATION_RECEIPT_PROTOTYPE	experiments/glibc/selected-obsidian-provider-authority/review/selected-target-verification-receipt-prototype.json	b5e375cef8a47aac3fd298ef855ba0fd179942a005efc6a96817ab3bb9630b79	41_OBJECTS_41_ALIASES_44332_BYTES_1048576_CAP	VERIFY_CANONICAL_JSON_FIELDS_AND_PUBLICATION_PLACEHOLDERS	READ_ONLY_CANONICAL_INPUT_LOCKED_BY_SHA256_BEFORE_ANY_FUTURE_EXECUTION	ABORT_BEFORE_LOCK_ACQUISITION_PATH_CREATION_BYTE_READ_OR_MUTATION	NONE	READ_ONLY_DESIGN_INPUT_ONLY	SOURCE_LOCK_DOES_NOT_AUTHORIZE_LOCALIZATION_DOWNLOAD_EXTRACTION_ROOT_CREATION_OBJECT_WRITE_GENERATION_WRITE_SELECTOR_CHANGE_POPULATION_OR_ACTIVATION
