field	value
source_receipt_archive	termux-native-desktop-gap-evidence-acquirer-result-20260714T003719Z.tar.zst
source_receipt_sha256	e830a00bd43a2342223f8b2e93923654f99e17e59c64c3a13a799fe043e5b369
source_branch	docs/post-graphics-architecture-audit
source_head	54afd42dcce27be00d70550facb5e0ceb391ce38
source_tree	8c34d8987c98923a3b623a4d1be5304fe20b4964
source_contract_rows	10
lane_rows	6
requirement_rows	16
root_acquisition_rows	28
object_acquisition_rows	37
candidate_evidence_files	0
candidate_requirements	0
local_foundation_only_requirements	6
direct_gap_unavailable_requirements	10
artifact_build_attestations_accepted	0
termux_android_adaptations_accepted	0
concrete_filename_drifts_accepted	0
object_corrections_accepted	0
final_provider_decisions_accepted	0
target_rows_populated	0
rules_sha256	e7cf08f8b2e4419bd8b36e4b6ff03731fa727c8e2d331569b503aec84bba3aae
requirement_review_sha256	c4341c4947b180c1352528bbed7742edbe7f4b65eec8ead454edfb53c28fe628
lane_review_sha256	f0575f1c00c47cf4468df24248a89d40b6b6b8ad4e3776a7ee67ce95e256f898
root_review_sha256	700afb881b7adbf44f2bb530f947b905035fe9eea4c44f6487904211723aab54
object_review_sha256	538397f08d71b2f9572d69f5e8e318382e1564f811f2b676843f405efa55802f
next_state	DEFINE_BOUNDED_GENERIC_BUILD_ATTESTATION_ADAPTATION_GAP_EVIDENCE_SUPPLY_REQUEST_SET
