request_id	batch_id	requirement_id	lane_id	priority	dimension	scope_kind	supplier_role	supplier_independence	acquisition_class	acquisition_mode	primary_source_kind	alternate_source_kinds	source_kinds	deliverable_contract	minimum_binding_fields	dependency_requirement_ids	dependency_component_id	dependency_component_members	dependency_component_kind	root_unit_count	object_unit_count	request_package_relative_path	response_package_relative_path	response_manifest_contract	completion_gate	review_after_supply	claim_boundary	request_state	responses_received	authority_state	next_action
SRQ-AD-001	SUP-04	AD-001	GC-04	P3	ADAPTATION	ROOT	PROJECT_AGENT_REPOSITORY_SEMANTIC_REVIEW	PROJECT_AUTHORED_WITH_PINNED_EXTERNAL_BASELINE	SEMANTIC_REVIEW_AUTHORING	AUTHOR_COMPLETE_RECIPE_DELTA_INVENTORY_REVIEW	SEMANTIC_REVIEW	PINNED_UPSTREAM_BASELINE	PINNED_UPSTREAM_BASELINE;SEMANTIC_REVIEW	recipe-delta-inventory-review.tsv	root_review_id;recipe_file;delta_class;review_disposition;evidence_reference	NONE	DEP-01	AD-001	ACYCLIC	21	28	evidence-supply/requests/SUP-04/SRQ-AD-001.tsv	evidence-supply/responses/SUP-04/SRQ-AD-001/	input_id;acquisition_unit_id;requirement_id;lane_id;scope_kind;scope_id;source_kind;acquisition_mode;locator_class;source_locator;relative_path;sha256;size_bytes;evidence_class;claim_boundary	COMPLETE_FILE_DELTA_PATCH_HOOK_SUBPACKAGE_AND_CONFIGURATION_INVENTORY_REVIEWED	SEPARATE_GAP_CLOSURE_RECEIPT_REVIEW_REQUIRED	SUPPLY_REQUEST_ONLY_NO_EVIDENCE_OR_AUTHORITY_EFFECT	REQUEST_DEFINED_NOT_ISSUED	0	OPEN_NO_ACCEPTANCE	PREPARE_REPOSITORY_SEMANTIC_RESPONSE
SRQ-AD-002	SUP-04	AD-002	GC-04	P3	ADAPTATION	ROOT	PROJECT_AGENT_REPOSITORY_SEMANTIC_REVIEW	PROJECT_AUTHORED_WITH_PINNED_EXTERNAL_BASELINE	UPSTREAM_BASELINE_AND_REVIEW	ACQUIRE_PINNED_BASELINE_AND_AUTHOR_SEMANTIC_COMPARISON	PINNED_UPSTREAM_BASELINE	SEMANTIC_REVIEW	PINNED_UPSTREAM_BASELINE;SEMANTIC_REVIEW	upstream-semantic-comparison.tsv	root_review_id;recipe_tree;upstream_locator;upstream_digest;delta_semantics	AD-001	DEP-02	AD-002	ACYCLIC	28	37	evidence-supply/requests/SUP-04/SRQ-AD-002.tsv	evidence-supply/responses/SUP-04/SRQ-AD-002/	input_id;acquisition_unit_id;requirement_id;lane_id;scope_kind;scope_id;source_kind;acquisition_mode;locator_class;source_locator;relative_path;sha256;size_bytes;evidence_class;claim_boundary	EVERY_RECIPE_DELTA_SEMANTICALLY_COMPARED_TO_PINNED_UPSTREAM_BASELINE	SEPARATE_GAP_CLOSURE_RECEIPT_REVIEW_REQUIRED	SUPPLY_REQUEST_ONLY_NO_EVIDENCE_OR_AUTHORITY_EFFECT	REQUEST_DEFINED_NOT_ISSUED	0	OPEN_NO_ACCEPTANCE	PREPARE_REPOSITORY_SEMANTIC_RESPONSE
SRQ-AD-003	SUP-04	AD-003	GC-04	P3	ADAPTATION	ROOT	PROJECT_AGENT_REPOSITORY_SEMANTIC_REVIEW	PROJECT_AUTHORED_WITH_PINNED_EXTERNAL_BASELINE	SEMANTIC_REVIEW_AUTHORING	AUTHOR_ANDROID_TERMUX_NECESSITY_CLASSIFICATION	SEMANTIC_REVIEW	NONE	SEMANTIC_REVIEW	android-termux-necessity-review.tsv	root_review_id;delta_id;necessity_class;platform_evidence;rejection_basis	AD-001;AD-002	DEP-03	AD-003	ACYCLIC	28	37	evidence-supply/requests/SUP-04/SRQ-AD-003.tsv	evidence-supply/responses/SUP-04/SRQ-AD-003/	input_id;acquisition_unit_id;requirement_id;lane_id;scope_kind;scope_id;source_kind;acquisition_mode;locator_class;source_locator;relative_path;sha256;size_bytes;evidence_class;claim_boundary	EVERY_DELTA_CLASSIFIED_WITH_PLATFORM_OR_PACKAGE_EVIDENCE	SEPARATE_GAP_CLOSURE_RECEIPT_REVIEW_REQUIRED	SUPPLY_REQUEST_ONLY_NO_EVIDENCE_OR_AUTHORITY_EFFECT	REQUEST_DEFINED_NOT_ISSUED	0	OPEN_NO_ACCEPTANCE	PREPARE_REPOSITORY_SEMANTIC_RESPONSE
SRQ-AD-004	SUP-04	AD-004	GC-04	P3	ADAPTATION	OBJECT	PROJECT_AGENT_REPOSITORY_SEMANTIC_REVIEW	PROJECT_AUTHORED_WITH_PINNED_EXTERNAL_BASELINE	OBJECT_IMPACT_REVIEW_AUTHORING	AUTHOR_NAMED_OBJECT_IMPACT_BINDING	SEMANTIC_REVIEW	NONE	SEMANTIC_REVIEW	object-impact-review.tsv	object_review_id;root_review_id;delta_id;impact_class;impact_basis	AD-002;AD-003	DEP-04	AD-004	ACYCLIC	28	37	evidence-supply/requests/SUP-04/SRQ-AD-004.tsv	evidence-supply/responses/SUP-04/SRQ-AD-004/	input_id;acquisition_unit_id;requirement_id;lane_id;scope_kind;scope_id;source_kind;acquisition_mode;locator_class;source_locator;relative_path;sha256;size_bytes;evidence_class;claim_boundary	EVERY_REVIEWED_DELTA_BOUND_TO_NAMED_OBJECT_OR_EXPLICIT_NO_IMPACT	SEPARATE_GAP_CLOSURE_RECEIPT_REVIEW_REQUIRED	SUPPLY_REQUEST_ONLY_NO_EVIDENCE_OR_AUTHORITY_EFFECT	REQUEST_DEFINED_NOT_ISSUED	0	OPEN_NO_ACCEPTANCE	PREPARE_REPOSITORY_SEMANTIC_RESPONSE
SRQ-AD-005	SUP-06	AD-005	GC-06	P5	ADAPTATION	ROOT	PROJECT_AGENT_POLICY_AUTHOR	PROJECT_AUTHORED_POLICY_AFTER_SEMANTIC_REVIEW	CONTINUITY_POLICY_AUTHORING	AUTHOR_ADAPTATION_SUCCESSOR_ROLLBACK_POLICY	CONTINUITY_POLICY	NONE	CONTINUITY_POLICY	adaptation-continuity-policy.tsv	root_review_id;transition_class;semantic_recheck;object_recheck;rollback_gate	AD-002;AD-003;AD-004	DEP-05	AD-005	ACYCLIC	14	20	evidence-supply/requests/SUP-06/SRQ-AD-005.tsv	evidence-supply/responses/SUP-06/SRQ-AD-005/	input_id;acquisition_unit_id;requirement_id;lane_id;scope_kind;scope_id;source_kind;acquisition_mode;locator_class;source_locator;relative_path;sha256;size_bytes;evidence_class;claim_boundary	ADAPTATION_SUCCESSOR_AND_ROLLBACK_COMPATIBILITY_RULES_DEFINED	SEPARATE_GAP_CLOSURE_RECEIPT_REVIEW_REQUIRED	SUPPLY_REQUEST_ONLY_NO_EVIDENCE_OR_AUTHORITY_EFFECT	REQUEST_DEFINED_NOT_ISSUED	0	OPEN_NO_ACCEPTANCE	AUTHOR_POLICY_AFTER_PREREQUISITE_RESPONSES
SRQ-AD-006	SUP-04	AD-006	GC-04	P3	ADAPTATION	ROOT	PROJECT_AGENT_REPOSITORY_SEMANTIC_REVIEW	PROJECT_AUTHORED_WITH_PINNED_EXTERNAL_BASELINE	SEMANTIC_REVIEW_AUTHORING	AUTHOR_FULL_NO_TOKEN_ROOT_SEMANTIC_REVIEW	SEMANTIC_REVIEW	PINNED_UPSTREAM_BASELINE	PINNED_UPSTREAM_BASELINE;SEMANTIC_REVIEW	no-token-root-semantic-review.tsv	root_review_id;recipe_file;upstream_baseline;semantic_result;explicit_no_impact_basis	AD-001;AD-002	DEP-06	AD-006	ACYCLIC	7	9	evidence-supply/requests/SUP-04/SRQ-AD-006.tsv	evidence-supply/responses/SUP-04/SRQ-AD-006/	input_id;acquisition_unit_id;requirement_id;lane_id;scope_kind;scope_id;source_kind;acquisition_mode;locator_class;source_locator;relative_path;sha256;size_bytes;evidence_class;claim_boundary	EVERY_NO_TOKEN_ROOT_FULLY_REVIEWED_WITHOUT_UPSTREAM_EQUIVALENCE_INFERENCE	SEPARATE_GAP_CLOSURE_RECEIPT_REVIEW_REQUIRED	SUPPLY_REQUEST_ONLY_NO_EVIDENCE_OR_AUTHORITY_EFFECT	REQUEST_DEFINED_NOT_ISSUED	0	OPEN_NO_ACCEPTANCE	PREPARE_REPOSITORY_SEMANTIC_RESPONSE
SRQ-BA-001	SUP-02	BA-001	GC-02	P1	BUILD_ATTESTATION	ROOT	PRODUCING_BUILD_RECORD_CUSTODIAN	PRODUCER_OR_SIGNED_PROVENANCE	PRODUCER_PROVENANCE	IMPORT_EXISTING_PRODUCING_BUILD_RECORD	IMMUTABLE_BUILD_RECORD	SIGNED_PROVENANCE	IMMUTABLE_BUILD_RECORD;SIGNED_PROVENANCE	build-invocation-record.json	root_review_id;artifact_sha256;recipe_tree;build_run_id;invocation	NONE	DEP-07	BA-001	ACYCLIC	28	37	evidence-supply/requests/SUP-02/SRQ-BA-001.tsv	evidence-supply/responses/SUP-02/SRQ-BA-001/	input_id;acquisition_unit_id;requirement_id;lane_id;scope_kind;scope_id;source_kind;acquisition_mode;locator_class;source_locator;relative_path;sha256;size_bytes;evidence_class;claim_boundary	DIGEST_BOUND_PRODUCING_BUILD_INVOCATION_RECORDED	SEPARATE_GAP_CLOSURE_RECEIPT_REVIEW_REQUIRED	SUPPLY_REQUEST_ONLY_NO_EVIDENCE_OR_AUTHORITY_EFFECT	REQUEST_DEFINED_NOT_ISSUED	0	OPEN_NO_ACCEPTANCE	REQUEST_IMMUTABLE_PRODUCER_EXPORT
SRQ-BA-002	SUP-02	BA-002	GC-02	P1	BUILD_ATTESTATION	ROOT	PRODUCING_BUILD_RECORD_CUSTODIAN	PRODUCER_OR_SIGNED_PROVENANCE	PRODUCER_PROVENANCE	IMPORT_EXISTING_PRODUCING_ENVIRONMENT_RECORD	IMMUTABLE_BUILD_RECORD	SIGNED_PROVENANCE	IMMUTABLE_BUILD_RECORD;SIGNED_PROVENANCE	build-environment-record.json	root_review_id;build_run_id;toolchain;dependencies;environment	BA-001	DEP-08	BA-002	ACYCLIC	28	37	evidence-supply/requests/SUP-02/SRQ-BA-002.tsv	evidence-supply/responses/SUP-02/SRQ-BA-002/	input_id;acquisition_unit_id;requirement_id;lane_id;scope_kind;scope_id;source_kind;acquisition_mode;locator_class;source_locator;relative_path;sha256;size_bytes;evidence_class;claim_boundary	PRODUCING_ENVIRONMENT_TOOLCHAIN_DEPENDENCIES_AND_RELEVANT_VARIABLES_RECORDED	SEPARATE_GAP_CLOSURE_RECEIPT_REVIEW_REQUIRED	SUPPLY_REQUEST_ONLY_NO_EVIDENCE_OR_AUTHORITY_EFFECT	REQUEST_DEFINED_NOT_ISSUED	0	OPEN_NO_ACCEPTANCE	REQUEST_IMMUTABLE_PRODUCER_EXPORT
SRQ-BA-003	SUP-02	BA-003	GC-03	P2	BUILD_ATTESTATION	ROOT	PRODUCING_BUILD_RECORD_CUSTODIAN	PRODUCER_OR_SIGNED_PROVENANCE	OUTPUT_LINKAGE	IMPORT_PRODUCING_BUILD_OUTPUT_MANIFEST	OUTPUT_MANIFEST	IMMUTABLE_BUILD_RECORD;SIGNED_PROVENANCE	IMMUTABLE_BUILD_RECORD;OUTPUT_MANIFEST;SIGNED_PROVENANCE	build-output-manifest.tsv	root_review_id;build_run_id;artifact_sha256;member_path;member_sha256	BA-001;BA-002	DEP-09	BA-003	ACYCLIC	28	37	evidence-supply/requests/SUP-02/SRQ-BA-003.tsv	evidence-supply/responses/SUP-02/SRQ-BA-003/	input_id;acquisition_unit_id;requirement_id;lane_id;scope_kind;scope_id;source_kind;acquisition_mode;locator_class;source_locator;relative_path;sha256;size_bytes;evidence_class;claim_boundary	PACKAGE_AND_NAMED_MEMBER_OUTPUTS_BOUND_TO_PRODUCING_BUILD	SEPARATE_GAP_CLOSURE_RECEIPT_REVIEW_REQUIRED	SUPPLY_REQUEST_ONLY_NO_EVIDENCE_OR_AUTHORITY_EFFECT	REQUEST_DEFINED_NOT_ISSUED	0	OPEN_NO_ACCEPTANCE	REQUEST_IMMUTABLE_PRODUCER_EXPORT
SRQ-BA-004	SUP-03	BA-004	GC-02	P1	BUILD_ATTESTATION	ROOT	INDEPENDENT_LINUX_WORKSTATION_WITNESS_OR_SIGNED_PROVENANCE_CUSTODIAN	INDEPENDENT_FROM_PRODUCING_HOST	INDEPENDENT_VERIFICATION	IMPORT_INDEPENDENT_REPRODUCTION_OR_SIGNED_PROVENANCE	INDEPENDENT_REPRODUCTION	SIGNED_PROVENANCE	INDEPENDENT_REPRODUCTION;SIGNED_PROVENANCE	independent-reproduction-receipt.json	root_review_id;recipe_tree;artifact_sha256;executor_identity;comparison_result	BA-001;BA-002	DEP-10	BA-004	ACYCLIC	28	37	evidence-supply/requests/SUP-03/SRQ-BA-004.tsv	evidence-supply/responses/SUP-03/SRQ-BA-004/	input_id;acquisition_unit_id;requirement_id;lane_id;scope_kind;scope_id;source_kind;acquisition_mode;locator_class;source_locator;relative_path;sha256;size_bytes;evidence_class;claim_boundary	INDEPENDENT_REPRODUCTION_OR_INDEPENDENTLY_VERIFIABLE_PROVENANCE_RECORDED	SEPARATE_GAP_CLOSURE_RECEIPT_REVIEW_REQUIRED	SUPPLY_REQUEST_ONLY_NO_EVIDENCE_OR_AUTHORITY_EFFECT	REQUEST_DEFINED_NOT_ISSUED	0	OPEN_NO_ACCEPTANCE	REQUEST_INDEPENDENT_REPRODUCTION_OR_SIGNED_PROVENANCE
