requirement_id	lane_id	dimension	scope	closure_class	acquisition_class	manifest_scope_kind	candidate_input_count	acquirer_state	receipt_review_state	remaining_gap_class	deliverable_contract	completion_gate	closure_state	authority_state	next_action
AD-001	GC-04	ADAPTATION	ROOT	LOCAL_FOUNDATION_COMPLETION	SEMANTIC_REVIEW_AUTHORING	ROOT	0	LOCAL_FOUNDATION_ONLY_NO_NEW_ACQUISITION	LOCAL_FOUNDATION_NO_NEW_ACQUISITION_REVIEWED_OPEN	SEMANTIC_DELTA_REVIEW	recipe-delta-inventory-review.tsv	COMPLETE_FILE_DELTA_PATCH_HOOK_SUBPACKAGE_AND_CONFIGURATION_INVENTORY_REVIEWED	OPEN_EVIDENCE_SUPPLY_REQUIRED	OPEN_NO_ACCEPTANCE	INCLUDE_IN_BOUNDED_EVIDENCE_SUPPLY_REQUEST_SET
AD-002	GC-04	ADAPTATION	ROOT	LOCAL_FOUNDATION_COMPLETION	UPSTREAM_BASELINE_AND_REVIEW	ROOT	0	LOCAL_FOUNDATION_ONLY_NO_NEW_ACQUISITION	LOCAL_FOUNDATION_NO_NEW_ACQUISITION_REVIEWED_OPEN	UPSTREAM_SEMANTIC_COMPARISON	upstream-semantic-comparison.tsv	EVERY_RECIPE_DELTA_SEMANTICALLY_COMPARED_TO_PINNED_UPSTREAM_BASELINE	OPEN_EVIDENCE_SUPPLY_REQUIRED	OPEN_NO_ACCEPTANCE	INCLUDE_IN_BOUNDED_EVIDENCE_SUPPLY_REQUEST_SET
AD-003	GC-04	ADAPTATION	ROOT	DIRECT_GAP	SEMANTIC_REVIEW_AUTHORING	ROOT	0	ACQUISITION_INPUT_UNAVAILABLE_EXPLICIT_GAP	ACQUISITION_INPUT_UNAVAILABLE_GAP_REVIEWED_OPEN	ANDROID_TERMUX_NECESSITY_CLASSIFICATION	android-termux-necessity-review.tsv	EVERY_DELTA_CLASSIFIED_WITH_PLATFORM_OR_PACKAGE_EVIDENCE	OPEN_EVIDENCE_SUPPLY_REQUIRED	OPEN_NO_ACCEPTANCE	INCLUDE_IN_BOUNDED_EVIDENCE_SUPPLY_REQUEST_SET
AD-004	GC-04	ADAPTATION	OBJECT	LOCAL_FOUNDATION_COMPLETION	OBJECT_IMPACT_REVIEW_AUTHORING	OBJECT	0	LOCAL_FOUNDATION_ONLY_NO_NEW_ACQUISITION	LOCAL_FOUNDATION_NO_NEW_ACQUISITION_REVIEWED_OPEN	SEMANTIC_OBJECT_IMPACT_REVIEW	object-impact-review.tsv	EVERY_REVIEWED_DELTA_BOUND_TO_NAMED_OBJECT_OR_EXPLICIT_NO_IMPACT	OPEN_EVIDENCE_SUPPLY_REQUIRED	OPEN_NO_ACCEPTANCE	INCLUDE_IN_BOUNDED_EVIDENCE_SUPPLY_REQUEST_SET
AD-005	GC-06	ADAPTATION	ROOT	DIRECT_GAP	CONTINUITY_POLICY_AUTHORING	ROOT	0	ACQUISITION_INPUT_UNAVAILABLE_EXPLICIT_GAP	ACQUISITION_INPUT_UNAVAILABLE_GAP_REVIEWED_OPEN	ADAPTATION_UPDATE_AND_ROLLBACK_POLICY	adaptation-continuity-policy.tsv	ADAPTATION_SUCCESSOR_AND_ROLLBACK_COMPATIBILITY_RULES_DEFINED	OPEN_EVIDENCE_SUPPLY_REQUIRED	OPEN_NO_ACCEPTANCE	INCLUDE_IN_BOUNDED_EVIDENCE_SUPPLY_REQUEST_SET
AD-006	GC-04	ADAPTATION	ROOT	LOCAL_FOUNDATION_COMPLETION	SEMANTIC_REVIEW_AUTHORING	ROOT	0	LOCAL_FOUNDATION_ONLY_NO_NEW_ACQUISITION	LOCAL_FOUNDATION_NO_NEW_ACQUISITION_REVIEWED_OPEN	NO_TOKEN_FULL_SEMANTIC_REVIEW	no-token-root-semantic-review.tsv	EVERY_NO_TOKEN_ROOT_FULLY_REVIEWED_WITHOUT_UPSTREAM_EQUIVALENCE_INFERENCE	OPEN_EVIDENCE_SUPPLY_REQUIRED	OPEN_NO_ACCEPTANCE	INCLUDE_IN_BOUNDED_EVIDENCE_SUPPLY_REQUEST_SET
BA-001	GC-02	BUILD_ATTESTATION	ROOT	DIRECT_GAP	PRODUCER_PROVENANCE	ROOT	0	ACQUISITION_INPUT_UNAVAILABLE_EXPLICIT_GAP	ACQUISITION_INPUT_UNAVAILABLE_GAP_REVIEWED_OPEN	DIGEST_BOUND_BUILD_INVOCATION	build-invocation-record.json	DIGEST_BOUND_PRODUCING_BUILD_INVOCATION_RECORDED	OPEN_EVIDENCE_SUPPLY_REQUIRED	OPEN_NO_ACCEPTANCE	INCLUDE_IN_BOUNDED_EVIDENCE_SUPPLY_REQUEST_SET
BA-002	GC-02	BUILD_ATTESTATION	ROOT	DIRECT_GAP	PRODUCER_PROVENANCE	ROOT	0	ACQUISITION_INPUT_UNAVAILABLE_EXPLICIT_GAP	ACQUISITION_INPUT_UNAVAILABLE_GAP_REVIEWED_OPEN	IMMUTABLE_BUILD_ENVIRONMENT	build-environment-record.json	PRODUCING_ENVIRONMENT_TOOLCHAIN_DEPENDENCIES_AND_RELEVANT_VARIABLES_RECORDED	OPEN_EVIDENCE_SUPPLY_REQUIRED	OPEN_NO_ACCEPTANCE	INCLUDE_IN_BOUNDED_EVIDENCE_SUPPLY_REQUEST_SET
BA-003	GC-03	BUILD_ATTESTATION	ROOT	LOCAL_FOUNDATION_COMPLETION	OUTPUT_LINKAGE	ROOT	0	LOCAL_FOUNDATION_ONLY_NO_NEW_ACQUISITION	LOCAL_FOUNDATION_NO_NEW_ACQUISITION_REVIEWED_OPEN	PRODUCING_BUILD_LINK	build-output-manifest.tsv	PACKAGE_AND_NAMED_MEMBER_OUTPUTS_BOUND_TO_PRODUCING_BUILD	OPEN_EVIDENCE_SUPPLY_REQUIRED	OPEN_NO_ACCEPTANCE	INCLUDE_IN_BOUNDED_EVIDENCE_SUPPLY_REQUEST_SET
BA-004	GC-02	BUILD_ATTESTATION	ROOT	DIRECT_GAP	INDEPENDENT_VERIFICATION	ROOT	0	ACQUISITION_INPUT_UNAVAILABLE_EXPLICIT_GAP	ACQUISITION_INPUT_UNAVAILABLE_GAP_REVIEWED_OPEN	INDEPENDENT_REPRODUCTION_OR_SIGNED_PROVENANCE	independent-reproduction-receipt.json	INDEPENDENT_REPRODUCTION_OR_INDEPENDENTLY_VERIFIABLE_PROVENANCE_RECORDED	OPEN_EVIDENCE_SUPPLY_REQUIRED	OPEN_NO_ACCEPTANCE	INCLUDE_IN_BOUNDED_EVIDENCE_SUPPLY_REQUEST_SET
