request_id	root_review_id	recipe_root	review_tier	primary_claim_class	disposition	required_now	replacement_or_narrowed_scope	retained_escalation_trigger	rationale	authority_effect	next_action
SUP02-CER-89ca3d57915910fa5a81	generic-root-review:89ca3d57915910fa5a81	gpkg/alsa-lib	T4_CONFIGURATION_OR_PACKAGING_EXACT	B	REPLACED	NO	AUTHORITATIVE_ARTIFACT_AND_MEMBER_IDENTITY_PLUS_RECIPE_UPSTREAM_SEMANTIC_REVIEW_AND_INTEGRATION_EVIDENCE	CLASS_C_RECLASSIFICATION;ARTIFACT_RECIPE_MISMATCH;OPAQUE_HIGH_RISK_GENERATED_OUTPUT;CLAIM_SPECIFIC_SUPPLIER_PROVENANCE_NEEDED_FOR_PROMOTION	CONFIGURATION_PACKAGING_OR_NO_TOKEN_DRIFT_CLAIM_IS_REFERENCE_CONSUMED_OR_REFERENCE_ADAPTED_NOT_INDEPENDENTLY_REPRODUCED	REQUEST_RECLASSIFICATION_ONLY_NO_EVIDENCE_OR_AUTHORITY_EFFECT	COMPLETE_AGENT_SEMANTIC_REVIEW_AND_DRIFT_POLICY_WITHOUT_EXTERNAL_CUSTODIAN_EXPORT
SUP02-CER-4cbb42bdf636a480b0f6	generic-root-review:4cbb42bdf636a480b0f6	gpkg/dbus	T1_MATERIAL_DELTA_AND_DRIFT	B	NARROWED	NO	SEMANTIC_RECIPE_REVIEW_FIRST;RETAIN_ONLY_CLAIM_SPECIFIC_BUILD_OUTPUT_OR_INVOCATION_FIELDS_IF_AN_ESCALATION_TRIGGER_FIRES	CLASS_C_RECLASSIFICATION;ARTIFACT_RECIPE_MISMATCH;OPAQUE_HIGH_RISK_GENERATED_OUTPUT;CLAIM_SPECIFIC_SUPPLIER_PROVENANCE_NEEDED_FOR_PROMOTION	MATERIAL_DELTA_REQUIRES_CLASS_B_REVIEW_BUT_DOES_NOT_BY_ITSELF_CREATE_A_CLASS_C_REPRODUCTION_CLAIM	REQUEST_RECLASSIFICATION_ONLY_NO_EVIDENCE_OR_AUTHORITY_EFFECT	COMPLETE_CLASS_B_SEMANTIC_AND_OBJECT_IMPACT_REVIEW_BEFORE_DECIDING_ANY_NARROWED_CUSTODIAN_EXPORT
SUP02-CER-26c46ad7612eb40ca721	generic-root-review:26c46ad7612eb40ca721	gpkg/fontconfig	T1_MATERIAL_DELTA_AND_DRIFT	B	NARROWED	NO	SEMANTIC_RECIPE_REVIEW_FIRST;RETAIN_ONLY_CLAIM_SPECIFIC_BUILD_OUTPUT_OR_INVOCATION_FIELDS_IF_AN_ESCALATION_TRIGGER_FIRES	CLASS_C_RECLASSIFICATION;ARTIFACT_RECIPE_MISMATCH;OPAQUE_HIGH_RISK_GENERATED_OUTPUT;CLAIM_SPECIFIC_SUPPLIER_PROVENANCE_NEEDED_FOR_PROMOTION	MATERIAL_DELTA_REQUIRES_CLASS_B_REVIEW_BUT_DOES_NOT_BY_ITSELF_CREATE_A_CLASS_C_REPRODUCTION_CLAIM	REQUEST_RECLASSIFICATION_ONLY_NO_EVIDENCE_OR_AUTHORITY_EFFECT	COMPLETE_CLASS_B_SEMANTIC_AND_OBJECT_IMPACT_REVIEW_BEFORE_DECIDING_ANY_NARROWED_CUSTODIAN_EXPORT
SUP02-CER-af39bbec812180537c5a	generic-root-review:af39bbec812180537c5a	gpkg/freetype	T2_MATERIAL_DELTA_EXACT	B	NARROWED	NO	SEMANTIC_RECIPE_REVIEW_FIRST;RETAIN_ONLY_CLAIM_SPECIFIC_BUILD_OUTPUT_OR_INVOCATION_FIELDS_IF_AN_ESCALATION_TRIGGER_FIRES	CLASS_C_RECLASSIFICATION;ARTIFACT_RECIPE_MISMATCH;OPAQUE_HIGH_RISK_GENERATED_OUTPUT;CLAIM_SPECIFIC_SUPPLIER_PROVENANCE_NEEDED_FOR_PROMOTION	MATERIAL_DELTA_REQUIRES_CLASS_B_REVIEW_BUT_DOES_NOT_BY_ITSELF_CREATE_A_CLASS_C_REPRODUCTION_CLAIM	REQUEST_RECLASSIFICATION_ONLY_NO_EVIDENCE_OR_AUTHORITY_EFFECT	COMPLETE_CLASS_B_SEMANTIC_AND_OBJECT_IMPACT_REVIEW_BEFORE_DECIDING_ANY_NARROWED_CUSTODIAN_EXPORT
SUP02-CER-c38f6cb7aef89fe33a48	generic-root-review:c38f6cb7aef89fe33a48	gpkg/fribidi	T2_MATERIAL_DELTA_EXACT	B	NARROWED	NO	SEMANTIC_RECIPE_REVIEW_FIRST;RETAIN_ONLY_CLAIM_SPECIFIC_BUILD_OUTPUT_OR_INVOCATION_FIELDS_IF_AN_ESCALATION_TRIGGER_FIRES	CLASS_C_RECLASSIFICATION;ARTIFACT_RECIPE_MISMATCH;OPAQUE_HIGH_RISK_GENERATED_OUTPUT;CLAIM_SPECIFIC_SUPPLIER_PROVENANCE_NEEDED_FOR_PROMOTION	MATERIAL_DELTA_REQUIRES_CLASS_B_REVIEW_BUT_DOES_NOT_BY_ITSELF_CREATE_A_CLASS_C_REPRODUCTION_CLAIM	REQUEST_RECLASSIFICATION_ONLY_NO_EVIDENCE_OR_AUTHORITY_EFFECT	COMPLETE_CLASS_B_SEMANTIC_AND_OBJECT_IMPACT_REVIEW_BEFORE_DECIDING_ANY_NARROWED_CUSTODIAN_EXPORT
SUP02-CER-c59af7056fbbff435bc8	generic-root-review:c59af7056fbbff435bc8	gpkg/glib	T1_MATERIAL_DELTA_AND_DRIFT	B	NARROWED	NO	SEMANTIC_RECIPE_REVIEW_FIRST;RETAIN_ONLY_CLAIM_SPECIFIC_BUILD_OUTPUT_OR_INVOCATION_FIELDS_IF_AN_ESCALATION_TRIGGER_FIRES	CLASS_C_RECLASSIFICATION;ARTIFACT_RECIPE_MISMATCH;OPAQUE_HIGH_RISK_GENERATED_OUTPUT;CLAIM_SPECIFIC_SUPPLIER_PROVENANCE_NEEDED_FOR_PROMOTION	MATERIAL_DELTA_REQUIRES_CLASS_B_REVIEW_BUT_DOES_NOT_BY_ITSELF_CREATE_A_CLASS_C_REPRODUCTION_CLAIM	REQUEST_RECLASSIFICATION_ONLY_NO_EVIDENCE_OR_AUTHORITY_EFFECT	COMPLETE_CLASS_B_SEMANTIC_AND_OBJECT_IMPACT_REVIEW_BEFORE_DECIDING_ANY_NARROWED_CUSTODIAN_EXPORT
SUP02-CER-706bd01fdd0555fcabc9	generic-root-review:706bd01fdd0555fcabc9	gpkg/harfbuzz	T1_MATERIAL_DELTA_AND_DRIFT	B	NARROWED	NO	SEMANTIC_RECIPE_REVIEW_FIRST;RETAIN_ONLY_CLAIM_SPECIFIC_BUILD_OUTPUT_OR_INVOCATION_FIELDS_IF_AN_ESCALATION_TRIGGER_FIRES	CLASS_C_RECLASSIFICATION;ARTIFACT_RECIPE_MISMATCH;OPAQUE_HIGH_RISK_GENERATED_OUTPUT;CLAIM_SPECIFIC_SUPPLIER_PROVENANCE_NEEDED_FOR_PROMOTION	MATERIAL_DELTA_REQUIRES_CLASS_B_REVIEW_BUT_DOES_NOT_BY_ITSELF_CREATE_A_CLASS_C_REPRODUCTION_CLAIM	REQUEST_RECLASSIFICATION_ONLY_NO_EVIDENCE_OR_AUTHORITY_EFFECT	COMPLETE_CLASS_B_SEMANTIC_AND_OBJECT_IMPACT_REVIEW_BEFORE_DECIDING_ANY_NARROWED_CUSTODIAN_EXPORT
SUP02-CER-0263d4b55d6a43edad7b	generic-root-review:0263d4b55d6a43edad7b	gpkg/libcairo	T1_MATERIAL_DELTA_AND_DRIFT	B	NARROWED	NO	SEMANTIC_RECIPE_REVIEW_FIRST;RETAIN_ONLY_CLAIM_SPECIFIC_BUILD_OUTPUT_OR_INVOCATION_FIELDS_IF_AN_ESCALATION_TRIGGER_FIRES	CLASS_C_RECLASSIFICATION;ARTIFACT_RECIPE_MISMATCH;OPAQUE_HIGH_RISK_GENERATED_OUTPUT;CLAIM_SPECIFIC_SUPPLIER_PROVENANCE_NEEDED_FOR_PROMOTION	MATERIAL_DELTA_REQUIRES_CLASS_B_REVIEW_BUT_DOES_NOT_BY_ITSELF_CREATE_A_CLASS_C_REPRODUCTION_CLAIM	REQUEST_RECLASSIFICATION_ONLY_NO_EVIDENCE_OR_AUTHORITY_EFFECT	COMPLETE_CLASS_B_SEMANTIC_AND_OBJECT_IMPACT_REVIEW_BEFORE_DECIDING_ANY_NARROWED_CUSTODIAN_EXPORT
SUP02-CER-d5acfe552821242c8bec	generic-root-review:d5acfe552821242c8bec	gpkg/libcloudproviders	T4_CONFIGURATION_OR_PACKAGING_EXACT	B	REPLACED	NO	AUTHORITATIVE_ARTIFACT_AND_MEMBER_IDENTITY_PLUS_RECIPE_UPSTREAM_SEMANTIC_REVIEW_AND_INTEGRATION_EVIDENCE	CLASS_C_RECLASSIFICATION;ARTIFACT_RECIPE_MISMATCH;OPAQUE_HIGH_RISK_GENERATED_OUTPUT;CLAIM_SPECIFIC_SUPPLIER_PROVENANCE_NEEDED_FOR_PROMOTION	CONFIGURATION_PACKAGING_OR_NO_TOKEN_DRIFT_CLAIM_IS_REFERENCE_CONSUMED_OR_REFERENCE_ADAPTED_NOT_INDEPENDENTLY_REPRODUCED	REQUEST_RECLASSIFICATION_ONLY_NO_EVIDENCE_OR_AUTHORITY_EFFECT	COMPLETE_AGENT_SEMANTIC_REVIEW_AND_DRIFT_POLICY_WITHOUT_EXTERNAL_CUSTODIAN_EXPORT
SUP02-CER-7ddd185f55bd2a91009e	generic-root-review:7ddd185f55bd2a91009e	gpkg/libdatrie	T2_MATERIAL_DELTA_EXACT	B	NARROWED	NO	SEMANTIC_RECIPE_REVIEW_FIRST;RETAIN_ONLY_CLAIM_SPECIFIC_BUILD_OUTPUT_OR_INVOCATION_FIELDS_IF_AN_ESCALATION_TRIGGER_FIRES	CLASS_C_RECLASSIFICATION;ARTIFACT_RECIPE_MISMATCH;OPAQUE_HIGH_RISK_GENERATED_OUTPUT;CLAIM_SPECIFIC_SUPPLIER_PROVENANCE_NEEDED_FOR_PROMOTION	MATERIAL_DELTA_REQUIRES_CLASS_B_REVIEW_BUT_DOES_NOT_BY_ITSELF_CREATE_A_CLASS_C_REPRODUCTION_CLAIM	REQUEST_RECLASSIFICATION_ONLY_NO_EVIDENCE_OR_AUTHORITY_EFFECT	COMPLETE_CLASS_B_SEMANTIC_AND_OBJECT_IMPACT_REVIEW_BEFORE_DECIDING_ANY_NARROWED_CUSTODIAN_EXPORT
