limitation_id	surface	trigger	do_not	preferred_fallback	authority_owner
WEB-NET-DNS-001	sandbox-network	DNS resolution or outbound fetch fails for exact required bytes	retry arbitrary mirrors proxies package managers or equivalent download commands	issue one exact user-Termux acquisition/analyzer wrapper with URL digest bounded analysis and result tar.zst	user-termux
WEB-GIT-OBJECT-001	github-connector	full Git history refs or object graph is required	reconstruct the repository through repeated raw connector reads	use a verified user-created full Git bundle and clone locally	user-termux
WEB-GH-SEARCH-001	github-connector	search misses a known path commit or slash-containing ref	infer that the object is absent or repeat broad searches	read the exact path at an exact ref or use user-Termux Git and compare commit coordinates	github-connector-or-user-termux
WEB-DRIVE-UPLOAD-001	drive-connector	a non-warmup upload rejects valid bytes because the supplied path or connector object violates the current action contract	repeat the same invalid call transform bytes weaken checksum verification or stop treating Drive as the primary exchange path	inspect the action contract once then expose identical bytes through a user-visible sandbox link or user rclone for the current delivery and attempt Drive first again for the next outbound artifact	sandbox-and-user-termux
WEB-DRIVE-RUNTIME-FIRST-UPLOAD-001	drive-connector	the first upload attempted after the web-chat runtime is initialized or reset blocks local-path-to-file-reference rewrite even in an existing chat	repeat the blocked upload in the same delivery treat Drive as non-primary or assume the block persists for later uploads	expose the identical artifact through a user-visible sandbox link for the current delivery then attempt Drive first again on the next outbound upload while the runtime persists and verify SHA-256	sandbox-and-user-termux
WEB-CONNECTOR-REF-001	connector-files	a connector file reference is needed as a local path or a raw local path is passed where a connector object is required	guess a sandbox path or treat a reference as bytes	fetch or materialize explicitly and verify identity before local use	sandbox
WEB-DEVICE-001	android-device	Android package loader GPU filesystem deployment or runtime fact is required	infer from sandbox state or label a synthetic test authoritative	issue the smallest self-contained Termux runner and review its structured result	user-termux
WEB-FS-001	sandbox-filesystem	shared /mnt/data performance or symlink/rename semantics differ from local execution	treat shared-storage behavior as Termux runtime truth	use local sandbox temporary storage for simulation and authoritative Termux execution for acceptance	sandbox-and-user-termux
WEB-TIMEOUT-001	tool-runtime	a combined process receives timeout SIGTERM or loses its parent call	rerun the entire expensive sequence without inspecting state	inspect logs and process state then split bounded tests or use a persistent session with polling	sandbox
WEB-DOCKER-001	sandbox-runtime	container orchestration or Docker is proposed	attempt install or use Docker	use native shell Git isolated temporary directories and user Termux for device-only work	sandbox-and-user-termux
WEB-CONTEXT-001	web-session	a new session lacks repository objects working tree or prior chat context	rely on narrative memory or reconstruct from connector fragments	start from a full Git bundle and repository START_HERE control plane	user-termux-and-repository
