requirement_id	lane_id	dimension	scope	closure_class	receipt_review_state	remaining_gap_class	acquisition_priority	acquisition_class	acquisition_mode	primary_source_kind	alternate_source_kinds	manifest_scope_kind	deliverable_contract	minimum_binding_fields	dependency_requirement_ids	completion_gate	review_after_collection	claim_boundary	acquisition_state	authority_state
AD-001	GC-04	ADAPTATION	ROOT	LOCAL_FOUNDATION_COMPLETION	LOCAL_FOUNDATION_RECONFIRMED_REVIEW_INPUT_CLOSURE_OPEN	SEMANTIC_DELTA_REVIEW	P3	SEMANTIC_REVIEW_AUTHORING	AUTHOR_COMPLETE_RECIPE_DELTA_INVENTORY_REVIEW	SEMANTIC_REVIEW	PINNED_UPSTREAM_BASELINE	ROOT	recipe-delta-inventory-review.tsv	root_review_id;recipe_file;delta_class;review_disposition;evidence_reference	NONE	COMPLETE_FILE_DELTA_PATCH_HOOK_SUBPACKAGE_AND_CONFIGURATION_INVENTORY_REVIEWED	SEPARATE_GAP_CLOSURE_RECEIPT_REVIEW_REQUIRED	CANDIDATE_EVIDENCE_REVIEW_REQUIRED_NO_AUTHORITY_EFFECT	ACQUISITION_WORK_UNIT_DEFINED_NOT_EXECUTED	OPEN_NO_ACCEPTANCE
AD-002	GC-04	ADAPTATION	ROOT	LOCAL_FOUNDATION_COMPLETION	LOCAL_FOUNDATION_RECONFIRMED_REVIEW_INPUT_CLOSURE_OPEN	UPSTREAM_SEMANTIC_COMPARISON	P3	UPSTREAM_BASELINE_AND_REVIEW	ACQUIRE_PINNED_BASELINE_AND_AUTHOR_SEMANTIC_COMPARISON	PINNED_UPSTREAM_BASELINE	SEMANTIC_REVIEW	ROOT	upstream-semantic-comparison.tsv	root_review_id;recipe_tree;upstream_locator;upstream_digest;delta_semantics	AD-001	EVERY_RECIPE_DELTA_SEMANTICALLY_COMPARED_TO_PINNED_UPSTREAM_BASELINE	SEPARATE_GAP_CLOSURE_RECEIPT_REVIEW_REQUIRED	CANDIDATE_EVIDENCE_REVIEW_REQUIRED_NO_AUTHORITY_EFFECT	ACQUISITION_WORK_UNIT_DEFINED_NOT_EXECUTED	OPEN_NO_ACCEPTANCE
AD-003	GC-04	ADAPTATION	ROOT	DIRECT_GAP	NO_CANDIDATE_EVIDENCE_GAP_CONFIRMED_OPEN	ANDROID_TERMUX_NECESSITY_CLASSIFICATION	P3	SEMANTIC_REVIEW_AUTHORING	AUTHOR_ANDROID_TERMUX_NECESSITY_CLASSIFICATION	SEMANTIC_REVIEW	NONE	ROOT	android-termux-necessity-review.tsv	root_review_id;delta_id;necessity_class;platform_evidence;rejection_basis	AD-001;AD-002	EVERY_DELTA_CLASSIFIED_WITH_PLATFORM_OR_PACKAGE_EVIDENCE	SEPARATE_GAP_CLOSURE_RECEIPT_REVIEW_REQUIRED	CANDIDATE_EVIDENCE_REVIEW_REQUIRED_NO_AUTHORITY_EFFECT	ACQUISITION_WORK_UNIT_DEFINED_NOT_EXECUTED	OPEN_NO_ACCEPTANCE
AD-004	GC-04	ADAPTATION	OBJECT	LOCAL_FOUNDATION_COMPLETION	LOCAL_FOUNDATION_RECONFIRMED_REVIEW_INPUT_CLOSURE_OPEN	SEMANTIC_OBJECT_IMPACT_REVIEW	P3	OBJECT_IMPACT_REVIEW_AUTHORING	AUTHOR_NAMED_OBJECT_IMPACT_BINDING	SEMANTIC_REVIEW	NONE	OBJECT	object-impact-review.tsv	object_review_id;root_review_id;delta_id;impact_class;impact_basis	AD-002;AD-003	EVERY_REVIEWED_DELTA_BOUND_TO_NAMED_OBJECT_OR_EXPLICIT_NO_IMPACT	SEPARATE_GAP_CLOSURE_RECEIPT_REVIEW_REQUIRED	CANDIDATE_EVIDENCE_REVIEW_REQUIRED_NO_AUTHORITY_EFFECT	ACQUISITION_WORK_UNIT_DEFINED_NOT_EXECUTED	OPEN_NO_ACCEPTANCE
AD-005	GC-06	ADAPTATION	ROOT	DIRECT_GAP	NO_CANDIDATE_EVIDENCE_GAP_CONFIRMED_OPEN	ADAPTATION_UPDATE_AND_ROLLBACK_POLICY	P5	CONTINUITY_POLICY_AUTHORING	AUTHOR_ADAPTATION_SUCCESSOR_ROLLBACK_POLICY	CONTINUITY_POLICY	NONE	ROOT	adaptation-continuity-policy.tsv	root_review_id;transition_class;semantic_recheck;object_recheck;rollback_gate	AD-002;AD-003;AD-004	ADAPTATION_SUCCESSOR_AND_ROLLBACK_COMPATIBILITY_RULES_DEFINED	SEPARATE_GAP_CLOSURE_RECEIPT_REVIEW_REQUIRED	CANDIDATE_EVIDENCE_REVIEW_REQUIRED_NO_AUTHORITY_EFFECT	ACQUISITION_WORK_UNIT_DEFINED_NOT_EXECUTED	OPEN_NO_ACCEPTANCE
AD-006	GC-04	ADAPTATION	ROOT	LOCAL_FOUNDATION_COMPLETION	LOCAL_FOUNDATION_RECONFIRMED_REVIEW_INPUT_CLOSURE_OPEN	NO_TOKEN_FULL_SEMANTIC_REVIEW	P3	SEMANTIC_REVIEW_AUTHORING	AUTHOR_FULL_NO_TOKEN_ROOT_SEMANTIC_REVIEW	SEMANTIC_REVIEW	PINNED_UPSTREAM_BASELINE	ROOT	no-token-root-semantic-review.tsv	root_review_id;recipe_file;upstream_baseline;semantic_result;explicit_no_impact_basis	AD-001;AD-002	EVERY_NO_TOKEN_ROOT_FULLY_REVIEWED_WITHOUT_UPSTREAM_EQUIVALENCE_INFERENCE	SEPARATE_GAP_CLOSURE_RECEIPT_REVIEW_REQUIRED	CANDIDATE_EVIDENCE_REVIEW_REQUIRED_NO_AUTHORITY_EFFECT	ACQUISITION_WORK_UNIT_DEFINED_NOT_EXECUTED	OPEN_NO_ACCEPTANCE
BA-001	GC-02	BUILD_ATTESTATION	ROOT	DIRECT_GAP	NO_CANDIDATE_EVIDENCE_GAP_CONFIRMED_OPEN	DIGEST_BOUND_BUILD_INVOCATION	P1	PRODUCER_PROVENANCE	IMPORT_EXISTING_PRODUCING_BUILD_RECORD	IMMUTABLE_BUILD_RECORD	SIGNED_PROVENANCE	ROOT	build-invocation-record.json	root_review_id;artifact_sha256;recipe_tree;build_run_id;invocation	NONE	DIGEST_BOUND_PRODUCING_BUILD_INVOCATION_RECORDED	SEPARATE_GAP_CLOSURE_RECEIPT_REVIEW_REQUIRED	CANDIDATE_EVIDENCE_REVIEW_REQUIRED_NO_AUTHORITY_EFFECT	ACQUISITION_WORK_UNIT_DEFINED_NOT_EXECUTED	OPEN_NO_ACCEPTANCE
BA-002	GC-02	BUILD_ATTESTATION	ROOT	DIRECT_GAP	NO_CANDIDATE_EVIDENCE_GAP_CONFIRMED_OPEN	IMMUTABLE_BUILD_ENVIRONMENT	P1	PRODUCER_PROVENANCE	IMPORT_EXISTING_PRODUCING_ENVIRONMENT_RECORD	IMMUTABLE_BUILD_RECORD	SIGNED_PROVENANCE	ROOT	build-environment-record.json	root_review_id;build_run_id;toolchain;dependencies;environment	BA-001	PRODUCING_ENVIRONMENT_TOOLCHAIN_DEPENDENCIES_AND_RELEVANT_VARIABLES_RECORDED	SEPARATE_GAP_CLOSURE_RECEIPT_REVIEW_REQUIRED	CANDIDATE_EVIDENCE_REVIEW_REQUIRED_NO_AUTHORITY_EFFECT	ACQUISITION_WORK_UNIT_DEFINED_NOT_EXECUTED	OPEN_NO_ACCEPTANCE
BA-003	GC-03	BUILD_ATTESTATION	ROOT	LOCAL_FOUNDATION_COMPLETION	LOCAL_FOUNDATION_RECONFIRMED_REVIEW_INPUT_CLOSURE_OPEN	PRODUCING_BUILD_LINK	P2	OUTPUT_LINKAGE	IMPORT_PRODUCING_BUILD_OUTPUT_MANIFEST	OUTPUT_MANIFEST	IMMUTABLE_BUILD_RECORD;SIGNED_PROVENANCE	ROOT	build-output-manifest.tsv	root_review_id;build_run_id;artifact_sha256;member_path;member_sha256	BA-001;BA-002	PACKAGE_AND_NAMED_MEMBER_OUTPUTS_BOUND_TO_PRODUCING_BUILD	SEPARATE_GAP_CLOSURE_RECEIPT_REVIEW_REQUIRED	CANDIDATE_EVIDENCE_REVIEW_REQUIRED_NO_AUTHORITY_EFFECT	ACQUISITION_WORK_UNIT_DEFINED_NOT_EXECUTED	OPEN_NO_ACCEPTANCE
BA-004	GC-02	BUILD_ATTESTATION	ROOT	DIRECT_GAP	NO_CANDIDATE_EVIDENCE_GAP_CONFIRMED_OPEN	INDEPENDENT_REPRODUCTION_OR_SIGNED_PROVENANCE	P1	INDEPENDENT_VERIFICATION	IMPORT_INDEPENDENT_REPRODUCTION_OR_SIGNED_PROVENANCE	INDEPENDENT_REPRODUCTION	SIGNED_PROVENANCE	ROOT	independent-reproduction-receipt.json	root_review_id;recipe_tree;artifact_sha256;executor_identity;comparison_result	BA-001;BA-002	INDEPENDENT_REPRODUCTION_OR_INDEPENDENTLY_VERIFIABLE_PROVENANCE_RECORDED	SEPARATE_GAP_CLOSURE_RECEIPT_REVIEW_REQUIRED	CANDIDATE_EVIDENCE_REVIEW_REQUIRED_NO_AUTHORITY_EFFECT	ACQUISITION_WORK_UNIT_DEFINED_NOT_EXECUTED	OPEN_NO_ACCEPTANCE
