state_id	phase_order	state_name	state_class	entry_requirements	permitted_effects	required_checks	success_transition	failure_transition	resume_rule	authorization_gate	current_authority_state	prohibited_inference
MAT-S00	0	DESIGN_CANDIDATE_QUALIFIED	CURRENT_READ_ONLY	ALL_DESIGN_TABLES_REGENERATE_AND_CHECK	DOCUMENT_AND_REVIEW_ONLY	NO_PATH_OR_BYTE_EFFECT	MAT-S01	MAT-F00	REGENERATE_FROM_LOCKED_SOURCES	NONE	QUALIFIED_CANDIDATE_ACCEPTANCE_OPEN	STATE_DEFINITION_DOES_NOT_AUTHORIZE_EXECUTION_BYTE_ACQUISITION_ROOT_CREATION_TARGET_WRITE_POPULATION_PUBLICATION_DEPLOYMENT_OR_ACTIVATION
MAT-S01	1	DESIGN_ACCEPTANCE_REQUIRED	CURRENT_GATE	SEPARATE_ACCEPTANCE_TRANSACTION	ACCEPT_OR_REJECT_DESIGN_ONLY	EXACT_CANDIDATE_DIGESTS_AND_NO_AUTHORITY_WIDENING	MAT-S02	MAT-F00	NO_EXECUTION_RESUME	SEPARATE_DESIGN_ACCEPTANCE_REQUIRED	OPEN_NOT_ACCEPTED	STATE_DEFINITION_DOES_NOT_AUTHORIZE_EXECUTION_BYTE_ACQUISITION_ROOT_CREATION_TARGET_WRITE_POPULATION_PUBLICATION_DEPLOYMENT_OR_ACTIVATION
MAT-S02	2	EXECUTION_AUTHORIZATION_REQUIRED	FUTURE_GATE	ACCEPTED_DESIGN_AND_SEPARATE_EXECUTION_AUTHORIZATION_ID	NO_MUTATION_UNTIL_TOKEN_VALIDATES	TOKEN_BINDS_DESIGN_JSON_SHA_AUTHORITY_SNAPSHOT_GENERATION_ID_AND_ALLOWED_EFFECTS	MAT-S10	MAT-F00	REVALIDATE_TOKEN	FUTURE_SEPARATE_EXECUTION_AUTHORIZATION_REQUIRED	NOT_AUTHORIZED	STATE_DEFINITION_DOES_NOT_AUTHORIZE_EXECUTION_BYTE_ACQUISITION_ROOT_CREATION_TARGET_WRITE_POPULATION_PUBLICATION_DEPLOYMENT_OR_ACTIVATION
MAT-S10	10	EXCLUSIVE_LOCK_HELD	FUTURE_MUTATING	VALID_EXECUTION_AUTHORIZATION	OPEN_NOFOLLOW_LOCK_FILE_AND_FCNTL_EXCLUSIVE_LOCK	OWNER_MODE_PATH_AND_STALE_METADATA	MAT-S20	MAT-F10	REENTER_ONLY_WITH_SAME_AUTHORIZATION_ID	FUTURE_SEPARATE_EXECUTION_AUTHORIZATION_REQUIRED	NOT_AUTHORIZED	STATE_DEFINITION_DOES_NOT_AUTHORIZE_EXECUTION_BYTE_ACQUISITION_ROOT_CREATION_TARGET_WRITE_POPULATION_PUBLICATION_DEPLOYMENT_OR_ACTIVATION
MAT-S20	20	RUNTIME_PREFLIGHT_PASSED	FUTURE_READ_ONLY	LOCK_HELD	LSTAT_STATVFS_STATFS_AND_INPUT_METADATA_READS_ONLY	ROOT_PROTECTED_PATH_DEVICE_OWNER_MODE_SPACE_HARDLINK_RENAME_AND_INPUT_CHECKS	MAT-S30	MAT-F10	RERUN_ALL_PREFLIGHT_CHECKS	FUTURE_SEPARATE_EXECUTION_AUTHORIZATION_REQUIRED	NOT_AUTHORIZED	STATE_DEFINITION_DOES_NOT_AUTHORIZE_EXECUTION_BYTE_ACQUISITION_ROOT_CREATION_TARGET_WRITE_POPULATION_PUBLICATION_DEPLOYMENT_OR_ACTIVATION
MAT-S30	30	SUPPLY_LOCALIZATION_BOUND	FUTURE_READ_ONLY	PREFLIGHT_PASSED_AND_41_ROW_LOCALIZATION_RECEIPT	READ_LOCAL_RESULT_ARCHIVES_ONLY	REGULAR_NOFOLLOW_EXACT_OUTER_SHA_RESULT_INDEX_AND_MEMBER_LOCATOR	MAT-S40	MAT-F10	REVERIFY_ALL_41_LOCAL_INPUTS	FUTURE_SEPARATE_EXECUTION_AUTHORIZATION_REQUIRED	NOT_AUTHORIZED	STATE_DEFINITION_DOES_NOT_AUTHORIZE_EXECUTION_BYTE_ACQUISITION_ROOT_CREATION_TARGET_WRITE_POPULATION_PUBLICATION_DEPLOYMENT_OR_ACTIVATION
MAT-S40	40	TRANSACTION_STAGING_OPEN	FUTURE_MUTATING	SUPPLY_BOUND	CREATE_EXACT_TRANSACTION_SCOPED_STAGING_AND_JOURNAL_ONLY	O_EXCL_NOFOLLOW_OWNER_0700_SAME_DEVICE	MAT-S50	MAT-F20	RESUME_ONLY_IF_TRANSACTION_JOURNAL_DIGEST_MATCHES	FUTURE_SEPARATE_EXECUTION_AUTHORIZATION_REQUIRED	NOT_AUTHORIZED	STATE_DEFINITION_DOES_NOT_AUTHORIZE_EXECUTION_BYTE_ACQUISITION_ROOT_CREATION_TARGET_WRITE_POPULATION_PUBLICATION_DEPLOYMENT_OR_ACTIVATION
MAT-S50	50	CONTENT_ADDRESSED_OBJECTS_COMPLETE	FUTURE_MUTATING	STAGING_OPEN	STREAM_VERIFY_AND_PUBLISH_41_OBJECTS_TO_CONTENT_ADDRESS_STORE	SIZE_SHA_ELF_SONAME_RPATH_RUNPATH_NEEDED_AND_OBJECT_PATH	MAT-S60	MAT-F20	REUSE_ONLY_EXACT_VERIFIED_FINAL_OBJECTS	FUTURE_SEPARATE_EXECUTION_AUTHORIZATION_REQUIRED	NOT_AUTHORIZED	STATE_DEFINITION_DOES_NOT_AUTHORIZE_EXECUTION_BYTE_ACQUISITION_ROOT_CREATION_TARGET_WRITE_POPULATION_PUBLICATION_DEPLOYMENT_OR_ACTIVATION
MAT-S60	60	GENERATION_REGULARS_COMPLETE	FUTURE_MUTATING	ALL_41_OBJECTS_COMPLETE	CREATE_STAGING_GENERATION_DIRS_AND_HARDLINK_41_REGULARS	NO_COPY_FALLBACK_SAME_DEVICE_TARGET_PATH_COUNT_AND_ATOMIC_FAMILY_BARRIER	MAT-S70	MAT-F20	REVERIFY_EXISTING_TX_SCOPED_LINKS	FUTURE_SEPARATE_EXECUTION_AUTHORIZATION_REQUIRED	NOT_AUTHORIZED	STATE_DEFINITION_DOES_NOT_AUTHORIZE_EXECUTION_BYTE_ACQUISITION_ROOT_CREATION_TARGET_WRITE_POPULATION_PUBLICATION_DEPLOYMENT_OR_ACTIVATION
MAT-S70	70	GENERATION_ALIASES_COMPLETE	FUTURE_MUTATING	ALL_REGULARS_AND_ATOMIC_FAMILIES_COMPLETE	CREATE_41_RELATIVE_SONAME_SYMLINKS	ALIAS_BASENAME_TARGET_NO_ABSOLUTE_PARENT_OR_COLLISION	MAT-S80	MAT-F20	REVERIFY_EXACT_TX_SCOPED_SYMLINKS	FUTURE_SEPARATE_EXECUTION_AUTHORIZATION_REQUIRED	NOT_AUTHORIZED	STATE_DEFINITION_DOES_NOT_AUTHORIZE_EXECUTION_BYTE_ACQUISITION_ROOT_CREATION_TARGET_WRITE_POPULATION_PUBLICATION_DEPLOYMENT_OR_ACTIVATION
