source_kind	acquisition_role	allowed_requirements	allowed_scope_kinds	acquisition_mode	required_locator_class	required_integrity_fields	payload_contract	prohibited_inference	claim_boundary	authority_state
AUTHORITATIVE_REFERENCE	OBJECT_REQUIREMENT_CORRECTION	OJ-001	OBJECT	OPERATOR_SUPPLIED_REFERENCE_OR_BOUNDED_REFERENCE_CAPTURE	IMMUTABLE_DOCUMENT_REVISION_OR_CONTENT_DIGEST	source_locator;sha256;size_bytes	AUTHORITATIVE_REQUIRED_IDENTITY_AND_DECISION_BASIS	NO_ABI_FAMILY_SUBSTITUTION	CANDIDATE_EVIDENCE_REVIEW_REQUIRED_NO_AUTHORITY_EFFECT	OPEN_NO_ACCEPTANCE
IMMUTABLE_BUILD_RECORD	PRODUCING_BUILD_PROVENANCE	BA-001;BA-002;BA-003	ROOT	IMPORT_EXISTING_IMMUTABLE_BUILDER_RECORD	BUILDER_RUN_ID_AND_IMMUTABLE_RECORD_LOCATOR	source_locator;sha256;size_bytes	ARTIFACT_DIGEST_RECIPE_TREE_INVOCATION_ENVIRONMENT_AND_OUTPUT_BINDING	NO_REPOSITORY_COLOCATION_OR_VERSION_ONLY_PROVENANCE	CANDIDATE_EVIDENCE_REVIEW_REQUIRED_NO_AUTHORITY_EFFECT	OPEN_NO_ACCEPTANCE
SIGNED_PROVENANCE	SIGNED_BUILD_PROVENANCE	BA-001;BA-002;BA-003;BA-004	ROOT	IMPORT_SIGNED_PROVENANCE_ENVELOPE	SIGNATURE_IDENTITY_AND_VERIFIABLE_ENVELOPE_LOCATOR	source_locator;sha256;size_bytes	DIGEST_BOUND_SOURCE_RECIPE_BUILD_AND_OUTPUT_STATEMENT	NO_UNSIGNED_NAME_OR_VERSION_EQUIVALENCE	CANDIDATE_EVIDENCE_REVIEW_REQUIRED_NO_AUTHORITY_EFFECT	OPEN_NO_ACCEPTANCE
INDEPENDENT_REPRODUCTION	INDEPENDENT_BUILD_VERIFICATION	BA-004	ROOT	IMPORT_INDEPENDENT_REPRODUCTION_RECEIPT	INDEPENDENT_EXECUTOR_AND_RECEIPT_LOCATOR	source_locator;sha256;size_bytes	PINNED_SOURCE_RECIPE_ENVIRONMENT_OUTPUT_DIGEST_COMPARISON	NO_SAME_HOST_SELF_REPLAY_AS_INDEPENDENT_VERIFICATION	CANDIDATE_EVIDENCE_REVIEW_REQUIRED_NO_AUTHORITY_EFFECT	OPEN_NO_ACCEPTANCE
OUTPUT_MANIFEST	OUTPUT_TO_BUILD_LINKAGE	BA-003	ROOT	IMPORT_PRODUCING_BUILD_OUTPUT_MANIFEST	PRODUCING_BUILD_RUN_AND_OUTPUT_MANIFEST_LOCATOR	source_locator;sha256;size_bytes	PACKAGE_AND_NAMED_MEMBER_DIGESTS_BOUND_TO_PRODUCING_BUILD	NO_RECEIPT_ONLY_MEMBER_OBSERVATION_AS_BUILD_LINK	CANDIDATE_EVIDENCE_REVIEW_REQUIRED_NO_AUTHORITY_EFFECT	OPEN_NO_ACCEPTANCE
PINNED_UPSTREAM_BASELINE	UPSTREAM_SEMANTIC_BASELINE	AD-001;AD-002;AD-006	ROOT	ACQUIRE_OR_IMPORT_PINNED_UPSTREAM_SOURCE_BASELINE	UPSTREAM_URL_REVISION_AND_DECLARED_DIGEST	source_locator;sha256;size_bytes	PINNED_UPSTREAM_FILES_NEEDED_FOR_RECIPE_DELTA_REVIEW	NO_UNPINNED_LATEST_UPSTREAM_BASELINE	CANDIDATE_EVIDENCE_REVIEW_REQUIRED_NO_AUTHORITY_EFFECT	OPEN_NO_ACCEPTANCE
SEMANTIC_REVIEW	ADAPTATION_SEMANTIC_CLASSIFICATION	AD-001;AD-002;AD-003;AD-004;AD-006	ROOT;OBJECT	AUTHOR_BOUNDED_REPOSITORY_REVIEW_RECORD	REVIEW_DOCUMENT_REVISION_OR_CONTENT_DIGEST	source_locator;sha256;size_bytes	DELTA_UPSTREAM_NECESSITY_AND_NAMED_OBJECT_IMPACT_CLASSIFICATION	NO_TOKEN_PRESENCE_OR_TERMUX_ORIGIN_AS_NECESSITY	CANDIDATE_EVIDENCE_REVIEW_REQUIRED_NO_AUTHORITY_EFFECT	OPEN_NO_ACCEPTANCE
CONSUMER_REFERENCE	CONSUMER_BINDING_EVIDENCE	CF-001;CF-002	OBJECT	PASSIVE_BOUNDED_CONSUMER_REFERENCE_CAPTURE	CONSUMER_IDENTITY_AND_CONTENT_DIGEST	source_locator;sha256;size_bytes	CONSUMER_REFERENCE_TO_STABLE_SONAME_OR_ALIAS_IDENTITY	NO_PROVIDER_SONAME_EQUALITY_AS_CONSUMER_BINDING	CANDIDATE_EVIDENCE_REVIEW_REQUIRED_NO_AUTHORITY_EFFECT	OPEN_NO_ACCEPTANCE
LOADER_POLICY	LOADER_IDENTITY_POLICY	CF-001;CF-002	OBJECT	IMPORT_OR_AUTHOR_BOUNDED_LOADER_POLICY_RECORD	POLICY_REVISION_OR_CONTENT_DIGEST	source_locator;sha256;size_bytes	STABLE_ALIAS_SONAME_AND_CONCRETE_TARGET_BINDING_RULES	NO_CURRENT_CONCRETE_FILENAME_AS_PERMANENT_ORACLE	CANDIDATE_EVIDENCE_REVIEW_REQUIRED_NO_AUTHORITY_EFFECT	OPEN_NO_ACCEPTANCE
CONTINUITY_POLICY	SUCCESSOR_AND_ROLLBACK_POLICY	BA-005;AD-005;CF-002;CF-003;CF-004	ROOT;OBJECT	AUTHOR_BOUNDED_SUCCESSOR_AND_ROLLBACK_POLICY	POLICY_REVISION_OR_CONTENT_DIGEST	source_locator;sha256;size_bytes	SUCCESSOR_ROLLBACK_ATTESTATION_ADAPTATION_ALIAS_AND_TARGET_GATES	NO_CURRENT_VERSION_ONLY_CONTINUITY_CLAIM	CANDIDATE_EVIDENCE_REVIEW_REQUIRED_NO_AUTHORITY_EFFECT	OPEN_NO_ACCEPTANCE
