root_review_id	review_tier	recipe_root	recipe_tree	recipe_resolved_full_version	artifact_ids	artifact_count	identity_count	recipe_file_count	build_script_signal_count	closure_lane_ids	root_requirement_set	dependent_object_requirement_set	direct_gap_requirement_set	local_foundation_completion_set	prerequisite_requirement_set	completion_gate	work_state	authority_state
generic-root-review:0263d4b55d6a43edad7b	T1_MATERIAL_DELTA_AND_DRIFT	gpkg/libcairo	b80a0990d43609e09f1480394225d2b068ce5881	1.18.2	generic-artifact:3250dba4dc3312b4fcaa	1	2	3	1	GC-02;GC-03;GC-04;GC-05;GC-06	AD-001;AD-002;AD-003;AD-005;BA-001;BA-002;BA-003;BA-004;BA-005	AD-004;CF-001;CF-002;CF-003;CF-004	AD-003;AD-005;BA-001;BA-002;BA-004;BA-005;CF-001;CF-003;CF-004	AD-001;AD-002;AD-004;BA-003;CF-002	AD-001;AD-002;AD-003;AD-004;BA-001;BA-002;BA-003;BA-004;CF-001;CF-002;CF-003;CF-004	ALL_ROOT_REQUIREMENTS_AND_DEPENDENT_OBJECT_REQUIREMENTS_REVIEWED_IN_SEPARATE_RECEIPT	GAP_CLOSURE_WORK_UNIT_DEFINED_AUTHORITY_BLOCKED	OPEN_NO_ACCEPTANCE
generic-root-review:0dacddae106c6bd1006b	T5_NO_TOKEN_AND_DRIFT	gpkg/pango	f9e9e2303e2c91322f7edcf1bc0c3b99f2d1d74a	1.54.0	generic-artifact:7fdbef58f2a4fff712db	1	3	1	0	GC-02;GC-03;GC-04;GC-05;GC-06	AD-002;AD-003;AD-006;BA-001;BA-002;BA-003;BA-004;BA-005	AD-004;CF-001;CF-002;CF-003;CF-004	AD-003;BA-001;BA-002;BA-004;BA-005;CF-001;CF-003;CF-004	AD-002;AD-004;AD-006;BA-003;CF-002	AD-001;AD-002;AD-003;BA-001;BA-002;BA-003;BA-004;CF-001;CF-002;CF-003;CF-004	ALL_ROOT_REQUIREMENTS_AND_DEPENDENT_OBJECT_REQUIREMENTS_REVIEWED_IN_SEPARATE_RECEIPT	GAP_CLOSURE_WORK_UNIT_DEFINED_AUTHORITY_BLOCKED	OPEN_NO_ACCEPTANCE
generic-root-review:146b55949f1c16bde2a2	T1_MATERIAL_DELTA_AND_DRIFT	gpkg/libpng	c28b21ff2f072e880bce82fe81e4022b88945c22	1.6.47	generic-artifact:b2835404d3b0f54b75eb	1	1	1	3	GC-02;GC-03;GC-04;GC-05;GC-06	AD-001;AD-002;AD-003;AD-005;BA-001;BA-002;BA-003;BA-004;BA-005	AD-004;CF-001;CF-002;CF-003;CF-004	AD-003;AD-005;BA-001;BA-002;BA-004;BA-005;CF-001;CF-003;CF-004	AD-001;AD-002;AD-004;BA-003;CF-002	AD-001;AD-002;AD-003;AD-004;BA-001;BA-002;BA-003;BA-004;CF-001;CF-002;CF-003;CF-004	ALL_ROOT_REQUIREMENTS_AND_DEPENDENT_OBJECT_REQUIREMENTS_REVIEWED_IN_SEPARATE_RECEIPT	GAP_CLOSURE_WORK_UNIT_DEFINED_AUTHORITY_BLOCKED	OPEN_NO_ACCEPTANCE
generic-root-review:26c46ad7612eb40ca721	T1_MATERIAL_DELTA_AND_DRIFT	gpkg/fontconfig	c5c62dc15d6a897251c88cb7c2306b2a12dd16ba	2.15.0-1	generic-artifact:c6bc4c9801ee7a45b506	1	1	3	5	GC-02;GC-03;GC-04;GC-05;GC-06	AD-001;AD-002;AD-003;AD-005;BA-001;BA-002;BA-003;BA-004;BA-005	AD-004;CF-001;CF-002;CF-003;CF-004	AD-003;AD-005;BA-001;BA-002;BA-004;BA-005;CF-001;CF-003;CF-004	AD-001;AD-002;AD-004;BA-003;CF-002	AD-001;AD-002;AD-003;AD-004;BA-001;BA-002;BA-003;BA-004;CF-001;CF-002;CF-003;CF-004	ALL_ROOT_REQUIREMENTS_AND_DEPENDENT_OBJECT_REQUIREMENTS_REVIEWED_IN_SEPARATE_RECEIPT	GAP_CLOSURE_WORK_UNIT_DEFINED_AUTHORITY_BLOCKED	OPEN_NO_ACCEPTANCE
generic-root-review:2f6c3972ae083cff8dd2	T6_NO_TOKEN_EXACT	gpkg/libepoxy	bb827daab0491d4ff49c822f96dd4bbb80102ef0	1.5.10	generic-artifact:e53dc3b7f5419f13eb09	1	1	1	0	GC-02;GC-03;GC-04;GC-06	AD-002;AD-003;AD-006;BA-001;BA-002;BA-003;BA-004;BA-005	AD-004	AD-003;BA-001;BA-002;BA-004;BA-005	AD-002;AD-004;AD-006;BA-003	AD-001;AD-002;AD-003;BA-001;BA-002;BA-003;BA-004	ALL_ROOT_REQUIREMENTS_AND_DEPENDENT_OBJECT_REQUIREMENTS_REVIEWED_IN_SEPARATE_RECEIPT	GAP_CLOSURE_WORK_UNIT_DEFINED_AUTHORITY_BLOCKED	OPEN_NO_ACCEPTANCE
generic-root-review:3d9be682f93850cf8f44	T2_MATERIAL_DELTA_EXACT	gpkg/mesa	722eafd0258762f44c50228b3b66cc7a29cfcb3e	24.2.6	generic-artifact:f45523463ae7a6b19c5c;generic-artifact:fc88e9a3b2ca583b6398	2	3	17	5	GC-02;GC-03;GC-04;GC-06	AD-001;AD-002;AD-003;AD-005;BA-001;BA-002;BA-003;BA-004;BA-005	AD-004	AD-003;AD-005;BA-001;BA-002;BA-004;BA-005	AD-001;AD-002;AD-004;BA-003	AD-001;AD-002;AD-003;AD-004;BA-001;BA-002;BA-003;BA-004	ALL_ROOT_REQUIREMENTS_AND_DEPENDENT_OBJECT_REQUIREMENTS_REVIEWED_IN_SEPARATE_RECEIPT	GAP_CLOSURE_WORK_UNIT_DEFINED_AUTHORITY_BLOCKED	OPEN_NO_ACCEPTANCE
generic-root-review:4a78f00ce210555e73bc	T4_CONFIGURATION_OR_PACKAGING_EXACT	gpkg/p11-kit	ad0661176a924458c36e3d6243aa83a52fe0fd55	0.25.5	generic-artifact:66a84ee486990761f3d2	1	1	1	2	GC-02;GC-03;GC-04;GC-06	AD-001;AD-002;AD-003;BA-001;BA-002;BA-003;BA-004;BA-005	AD-004	AD-003;BA-001;BA-002;BA-004;BA-005	AD-001;AD-002;AD-004;BA-003	AD-001;AD-002;AD-003;BA-001;BA-002;BA-003;BA-004	ALL_ROOT_REQUIREMENTS_AND_DEPENDENT_OBJECT_REQUIREMENTS_REVIEWED_IN_SEPARATE_RECEIPT	GAP_CLOSURE_WORK_UNIT_DEFINED_AUTHORITY_BLOCKED	OPEN_NO_ACCEPTANCE
generic-root-review:4cbb42bdf636a480b0f6	T1_MATERIAL_DELTA_AND_DRIFT	gpkg/dbus	d7c789ccea51cdb6d13196fd106f32daf6c75822	1.15.6-2	generic-artifact:a1ee6a6519c54ebfcd61	1	1	2	10	GC-02;GC-03;GC-04;GC-05;GC-06	AD-001;AD-002;AD-003;AD-005;BA-001;BA-002;BA-003;BA-004;BA-005	AD-004;CF-001;CF-002;CF-003;CF-004	AD-003;AD-005;BA-001;BA-002;BA-004;BA-005;CF-001;CF-003;CF-004	AD-001;AD-002;AD-004;BA-003;CF-002	AD-001;AD-002;AD-003;AD-004;BA-001;BA-002;BA-003;BA-004;CF-001;CF-002;CF-003;CF-004	ALL_ROOT_REQUIREMENTS_AND_DEPENDENT_OBJECT_REQUIREMENTS_REVIEWED_IN_SEPARATE_RECEIPT	GAP_CLOSURE_WORK_UNIT_DEFINED_AUTHORITY_BLOCKED	OPEN_NO_ACCEPTANCE
generic-root-review:54ab99c9280e70c43600	T2_MATERIAL_DELTA_EXACT	gpkg/libxcursor	bb2495e04b246f60203d48720225ef13fa8a25bf	1.2.3	generic-artifact:7901dd136016df9d694e	1	1	2	0	GC-02;GC-03;GC-04;GC-06	AD-001;AD-002;AD-003;AD-005;BA-001;BA-002;BA-003;BA-004;BA-005	AD-004	AD-003;AD-005;BA-001;BA-002;BA-004;BA-005	AD-001;AD-002;AD-004;BA-003	AD-001;AD-002;AD-003;AD-004;BA-001;BA-002;BA-003;BA-004	ALL_ROOT_REQUIREMENTS_AND_DEPENDENT_OBJECT_REQUIREMENTS_REVIEWED_IN_SEPARATE_RECEIPT	GAP_CLOSURE_WORK_UNIT_DEFINED_AUTHORITY_BLOCKED	OPEN_NO_ACCEPTANCE
generic-root-review:59aa2f063b98cf767441	T0_OBJECT_REQUIREMENT_CORRECTION	gpkg/libjpeg-turbo	cb58a7c1d7f4a1f89d036e4c80da596c0c61234c	3.1.0	generic-artifact:e672a721d7a949048cab	1	1	2	1	GC-01;GC-02;GC-03;GC-04;GC-06	AD-001;AD-002;AD-003;BA-001;BA-002;BA-003;BA-004;BA-005	AD-004;OJ-001	AD-003;BA-001;BA-002;BA-004;BA-005;OJ-001	AD-001;AD-002;AD-004;BA-003	AD-001;AD-002;AD-003;BA-001;BA-002;BA-003;BA-004	ALL_ROOT_REQUIREMENTS_AND_DEPENDENT_OBJECT_REQUIREMENTS_REVIEWED_IN_SEPARATE_RECEIPT	GAP_CLOSURE_WORK_UNIT_DEFINED_AUTHORITY_BLOCKED	OPEN_NO_ACCEPTANCE
