requirement_id	dimension	scope	requirement	acceptable_evidence	blocking_or_insufficient_evidence	authority_effect
BA-001	BUILD_ATTESTATION	ROOT	Bind the exact artifact SHA-256 to one recorded build invocation and the pinned recipe/source tree.	Signed provenance, retained builder record, or equivalent immutable attestation naming artifact digest, source tree, recipe tree and invocation.	Family/version alignment or repository co-location without digest-bound build provenance.	REVIEW_INPUT_ONLY_NO_AUTOMATIC_ACCEPTANCE
BA-002	BUILD_ATTESTATION	ROOT	Record the build environment, toolchain, dependency inputs and relevant environment variables.	Immutable environment/toolchain/dependency manifest sufficient to identify the producing build context.	Unbounded current environment, undocumented host state, or package metadata alone.	REVIEW_INPUT_ONLY_NO_AUTOMATIC_ACCEPTANCE
BA-003	BUILD_ATTESTATION	ROOT	Bind package outputs and named runtime members to the attested build result.	Output manifest linking package digest and named member digests/paths to the build result.	Receipt-only member observation with no producing-build link.	REVIEW_INPUT_ONLY_NO_AUTOMATIC_ACCEPTANCE
BA-004	BUILD_ATTESTATION	ROOT	Provide an independent verification path for the artifact-to-recipe claim.	Independent byte reproduction, reproducible-build comparison, or independently verifiable signed provenance.	Single-party assertion without independent verification.	REVIEW_INPUT_ONLY_NO_AUTOMATIC_ACCEPTANCE
BA-005	BUILD_ATTESTATION	ROOT	Define failure, update and rollback handling for attestation continuity.	Policy showing how successor and rollback artifacts retain or re-establish the same provenance chain.	One-off proof that cannot govern update or rollback.	REVIEW_INPUT_ONLY_NO_AUTOMATIC_ACCEPTANCE
AD-001	ADAPTATION	ROOT	Enumerate every recipe delta and packaging hook in the pinned recipe root.	Complete file-by-file delta inventory covering patches, custom steps, hooks, subpackages and configuration arguments.	Token presence alone or partial recipe excerpts.	REVIEW_INPUT_ONLY_NO_AUTOMATIC_ACCEPTANCE
AD-002	ADAPTATION	ROOT	Compare the pinned recipe behavior against the identified upstream baseline.	Semantic comparison explaining what each delta changes relative to upstream.	Filename/token matching without semantic interpretation.	REVIEW_INPUT_ONLY_NO_AUTOMATIC_ACCEPTANCE
AD-003	ADAPTATION	ROOT	Classify each delta as Android/Termux-required, packaging-only, maintenance-only, optional, or unrelated.	Reasoned classification with evidence tied to platform constraints or package behavior.	Assuming every Termux recipe change is runtime-required adaptation.	REVIEW_INPUT_ONLY_NO_AUTOMATIC_ACCEPTANCE
AD-004	ADAPTATION	OBJECT	Bind each accepted delta to the affected named runtime object or explicitly show no object impact.	Object/member-level impact analysis linked to the 37 reviewed identities.	Package-wide inference from a recipe-level change.	REVIEW_INPUT_ONLY_NO_AUTOMATIC_ACCEPTANCE
AD-005	ADAPTATION	ROOT	Define update and rollback implications of accepted adaptations.	Compatibility and continuity requirements for successor and rollback recipe/artifact states.	Current-version-only reasoning.	REVIEW_INPUT_ONLY_NO_AUTOMATIC_ACCEPTANCE
AD-006	ADAPTATION	ROOT	For roots with no explicit bounded token, perform a full semantic review rather than infer upstream equivalence.	Complete recipe/upstream comparison showing whether any implicit or unclassified adaptation exists.	Treating absence of collector tokens as proof of no adaptation.	REVIEW_INPUT_ONLY_NO_AUTOMATIC_ACCEPTANCE
CF-001	CONCRETE_FILENAME_DRIFT	OBJECT	Show consumers bind to the expected SONAME or stable alias rather than the historical concrete filename.	Consumer/reference evidence or loader-policy evidence demonstrating stable SONAME/alias binding.	SONAME equality of the provider object alone.	REVIEW_INPUT_ONLY_NO_AUTOMATIC_ACCEPTANCE
CF-002	CONCRETE_FILENAME_DRIFT	OBJECT	Validate the package symlink chain and concrete target across the exact current artifact.	Exact alias-to-target chain, target digest and target SONAME bound to the reviewed artifact.	Unversioned family inference.	REVIEW_INPUT_ONLY_NO_AUTOMATIC_ACCEPTANCE
CF-003	CONCRETE_FILENAME_DRIFT	OBJECT	Define how successor versions may change the concrete target while preserving the accepted runtime identity.	Explicit version-drift acceptance rule with validation gates.	Copying the first-generation concrete filename as a permanent oracle.	REVIEW_INPUT_ONLY_NO_AUTOMATIC_ACCEPTANCE
CF-004	CONCRETE_FILENAME_DRIFT	OBJECT	Define rollback behavior when concrete targets differ between versions.	Rollback rule preserving alias/SONAME identity and exact artifact/member verification.	Current-version-only acceptance.	REVIEW_INPUT_ONLY_NO_AUTOMATIC_ACCEPTANCE
OJ-001	OBJECT_REQUIREMENT	OBJECT	Correct the required object identity or locate a candidate providing the required expected SONAME.	Authoritative workload/reference evidence correcting the requirement, or an exact artifact/member candidate with the required SONAME.	Substituting a different ABI family such as libjpeg.so.8 for libjpeg.so.62.	REVIEW_INPUT_ONLY_NO_AUTOMATIC_ACCEPTANCE
