requirement_id	dimension	scope	collection_state	evidence_references	evidence_class	receipt_review_state	remaining_gap_class	next_action	authority_state
BA-001	BUILD_ATTESTATION	ROOT	EXTERNAL_BUILD_PROVENANCE_REQUIRED	NONE	EXTERNAL_PROVENANCE	EXTERNAL_SEMANTIC_POLICY_OR_CORRECTION_GAP_CONFIRMED	DIGEST_BOUND_BUILD_INVOCATION	PROVIDE_BOUNDED_DIGEST_BOUND_BUILD_PROVENANCE	OPEN_NO_ACCEPTANCE
BA-002	BUILD_ATTESTATION	ROOT	EXTERNAL_BUILD_ENVIRONMENT_RECORD_REQUIRED	NONE	EXTERNAL_PROVENANCE	EXTERNAL_SEMANTIC_POLICY_OR_CORRECTION_GAP_CONFIRMED	IMMUTABLE_BUILD_ENVIRONMENT	PROVIDE_BOUNDED_BUILD_ENVIRONMENT_RECORD	OPEN_NO_ACCEPTANCE
BA-003	BUILD_ATTESTATION	ROOT	LOCAL_OUTPUT_BINDING_EVIDENCE_COLLECTED_BUILD_LINK_OPEN	artifact-member-output-evidence.tsv	LOCAL_OUTPUT_BINDING	LOCAL_EVIDENCE_CONFIRMED_BOUNDED_REVIEW_INPUT	PRODUCING_BUILD_LINK	BIND_OUTPUT_MANIFEST_TO_PRODUCING_BUILD_RECORD	OPEN_NO_ACCEPTANCE
BA-004	BUILD_ATTESTATION	ROOT	EXTERNAL_INDEPENDENT_VERIFICATION_REQUIRED	NONE	EXTERNAL_PROVENANCE	EXTERNAL_SEMANTIC_POLICY_OR_CORRECTION_GAP_CONFIRMED	INDEPENDENT_REPRODUCTION_OR_SIGNED_PROVENANCE	PROVIDE_INDEPENDENT_VERIFICATION_PATH	OPEN_NO_ACCEPTANCE
BA-005	BUILD_ATTESTATION	ROOT	ATTESTATION_CONTINUITY_POLICY_REQUIRED	NONE	CONTINUITY_POLICY	EXTERNAL_SEMANTIC_POLICY_OR_CORRECTION_GAP_CONFIRMED	SUCCESSOR_AND_ROLLBACK_ATTESTATION_CONTINUITY	DEFINE_ATTESTATION_CONTINUITY_POLICY	OPEN_NO_ACCEPTANCE
AD-001	ADAPTATION	ROOT	LOCAL_COMPLETE_RECIPE_FILE_AND_SIGNAL_INVENTORY_COLLECTED_REVIEW_REQUIRED	recipe-file-evidence.tsv;recipe-build-script-signal-evidence.tsv	LOCAL_RECIPE_INVENTORY	LOCAL_EVIDENCE_CONFIRMED_BOUNDED_REVIEW_INPUT	SEMANTIC_DELTA_REVIEW	PERFORM_BOUNDED_RECIPE_DELTA_SEMANTIC_REVIEW	OPEN_NO_ACCEPTANCE
AD-002	ADAPTATION	ROOT	LOCAL_UPSTREAM_DECLARATIONS_COLLECTED_SEMANTIC_COMPARISON_REQUIRED	root-evidence-observations.tsv	LOCAL_UPSTREAM_DECLARATIONS	LOCAL_EVIDENCE_CONFIRMED_BOUNDED_REVIEW_INPUT	UPSTREAM_SEMANTIC_COMPARISON	PERFORM_BOUNDED_UPSTREAM_SEMANTIC_COMPARISON	OPEN_NO_ACCEPTANCE
AD-003	ADAPTATION	ROOT	ADAPTATION_NECESSITY_CLASSIFICATION_REQUIRED	recipe-build-script-signal-evidence.tsv	SEMANTIC_CLASSIFICATION	EXTERNAL_SEMANTIC_POLICY_OR_CORRECTION_GAP_CONFIRMED	ANDROID_TERMUX_NECESSITY_CLASSIFICATION	CLASSIFY_EACH_DELTA_WITH_OBJECT_BOUND_EVIDENCE	OPEN_NO_ACCEPTANCE
AD-004	ADAPTATION	OBJECT	LOCAL_ROOT_OBJECT_CROSSWALK_COLLECTED_IMPACT_REVIEW_REQUIRED	root-object-impact-crosswalk.tsv	LOCAL_ROOT_OBJECT_CROSSWALK	LOCAL_EVIDENCE_CONFIRMED_BOUNDED_REVIEW_INPUT	SEMANTIC_OBJECT_IMPACT_REVIEW	PERFORM_OBJECT_LEVEL_ADAPTATION_IMPACT_REVIEW	OPEN_NO_ACCEPTANCE
AD-005	ADAPTATION	ROOT	ADAPTATION_UPDATE_ROLLBACK_POLICY_REQUIRED	NONE	CONTINUITY_POLICY	EXTERNAL_SEMANTIC_POLICY_OR_CORRECTION_GAP_CONFIRMED	ADAPTATION_UPDATE_AND_ROLLBACK_POLICY	DEFINE_ADAPTATION_CONTINUITY_POLICY	OPEN_NO_ACCEPTANCE
AD-006	ADAPTATION	ROOT	LOCAL_FULL_RECIPE_MANIFEST_COLLECTED_NO_TOKEN_SEMANTIC_REVIEW_REQUIRED	recipe-file-evidence.tsv	LOCAL_FULL_RECIPE_MANIFEST	LOCAL_EVIDENCE_CONFIRMED_BOUNDED_REVIEW_INPUT	NO_TOKEN_FULL_SEMANTIC_REVIEW	PERFORM_FULL_NO_TOKEN_RECIPE_SEMANTIC_REVIEW	OPEN_NO_ACCEPTANCE
CF-001	CONCRETE_FILENAME_DRIFT	OBJECT	CONSUMER_BINDING_EVIDENCE_REQUIRED	NONE	CONSUMER_BINDING	EXTERNAL_SEMANTIC_POLICY_OR_CORRECTION_GAP_CONFIRMED	SONAME_OR_STABLE_ALIAS_CONSUMER_BINDING	PROVIDE_BOUNDED_CONSUMER_BINDING_EVIDENCE	OPEN_NO_ACCEPTANCE
CF-002	CONCRETE_FILENAME_DRIFT	OBJECT	LOCAL_EXACT_ALIAS_TARGET_EVIDENCE_COLLECTED_REVIEW_REQUIRED	artifact-member-output-evidence.tsv	LOCAL_ALIAS_TARGET_CHAIN	LOCAL_EVIDENCE_CONFIRMED_BOUNDED_REVIEW_INPUT	CONSUMER_BINDING_AND_DRIFT_POLICY	REVIEW_ALIAS_TARGET_CHAIN_WITH_CONSUMER_AND_POLICY_EVIDENCE	OPEN_NO_ACCEPTANCE
CF-003	CONCRETE_FILENAME_DRIFT	OBJECT	SUCCESSOR_FILENAME_DRIFT_POLICY_REQUIRED	NONE	CONTINUITY_POLICY	EXTERNAL_SEMANTIC_POLICY_OR_CORRECTION_GAP_CONFIRMED	SUCCESSOR_FILENAME_DRIFT_POLICY	DEFINE_SUCCESSOR_FILENAME_DRIFT_POLICY	OPEN_NO_ACCEPTANCE
CF-004	CONCRETE_FILENAME_DRIFT	OBJECT	ROLLBACK_FILENAME_DRIFT_POLICY_REQUIRED	NONE	CONTINUITY_POLICY	EXTERNAL_SEMANTIC_POLICY_OR_CORRECTION_GAP_CONFIRMED	ROLLBACK_FILENAME_DRIFT_POLICY	DEFINE_ROLLBACK_FILENAME_DRIFT_POLICY	OPEN_NO_ACCEPTANCE
OJ-001	OBJECT_REQUIREMENT	OBJECT	OBJECT_REQUIREMENT_CORRECTION_REQUIRED	artifact-member-output-evidence.tsv	OBJECT_CORRECTION	EXTERNAL_SEMANTIC_POLICY_OR_CORRECTION_GAP_CONFIRMED	LIBJPEG_EXPECTED_SONAME_REQUIREMENT	CORRECT_REQUIREMENT_OR_LOCATE_EXACT_LIBJPEG_SONAME_CANDIDATE	OPEN_NO_ACCEPTANCE
