requirement_id	dimension	scope	source_receipt_review_state	source_collection_state	source_evidence_references	remaining_gap_class	lane_id	closure_class	evidence_mode	dependency_requirement_ids	completion_criteria	rejection_criteria	closure_state	authority_state
BA-001	BUILD_ATTESTATION	ROOT	EXTERNAL_SEMANTIC_POLICY_OR_CORRECTION_GAP_CONFIRMED	EXTERNAL_BUILD_PROVENANCE_REQUIRED	NONE	DIGEST_BOUND_BUILD_INVOCATION	GC-02	DIRECT_GAP	EXTERNAL_IMMUTABLE_PROVENANCE	NONE	DIGEST_BOUND_PRODUCING_BUILD_INVOCATION_RECORDED	Family/version alignment or repository co-location without digest-bound build provenance.	WORK_UNIT_DEFINED_EVIDENCE_OR_REVIEW_NOT_ACCEPTED	OPEN_NO_ACCEPTANCE
BA-002	BUILD_ATTESTATION	ROOT	EXTERNAL_SEMANTIC_POLICY_OR_CORRECTION_GAP_CONFIRMED	EXTERNAL_BUILD_ENVIRONMENT_RECORD_REQUIRED	NONE	IMMUTABLE_BUILD_ENVIRONMENT	GC-02	DIRECT_GAP	EXTERNAL_IMMUTABLE_PROVENANCE	BA-001	PRODUCING_ENVIRONMENT_TOOLCHAIN_DEPENDENCIES_AND_RELEVANT_VARIABLES_RECORDED	Unbounded current environment, undocumented host state, or package metadata alone.	WORK_UNIT_DEFINED_EVIDENCE_OR_REVIEW_NOT_ACCEPTED	OPEN_NO_ACCEPTANCE
BA-003	BUILD_ATTESTATION	ROOT	LOCAL_EVIDENCE_CONFIRMED_BOUNDED_REVIEW_INPUT	LOCAL_OUTPUT_BINDING_EVIDENCE_COLLECTED_BUILD_LINK_OPEN	artifact-member-output-evidence.tsv	PRODUCING_BUILD_LINK	GC-03	LOCAL_FOUNDATION_COMPLETION	LOCAL_OUTPUT_RECEIPT_PLUS_BUILD_RECORD	BA-001;BA-002	PACKAGE_AND_NAMED_MEMBER_OUTPUTS_BOUND_TO_PRODUCING_BUILD	Receipt-only member observation with no producing-build link.	WORK_UNIT_DEFINED_EVIDENCE_OR_REVIEW_NOT_ACCEPTED	OPEN_NO_ACCEPTANCE
BA-004	BUILD_ATTESTATION	ROOT	EXTERNAL_SEMANTIC_POLICY_OR_CORRECTION_GAP_CONFIRMED	EXTERNAL_INDEPENDENT_VERIFICATION_REQUIRED	NONE	INDEPENDENT_REPRODUCTION_OR_SIGNED_PROVENANCE	GC-02	DIRECT_GAP	INDEPENDENT_VERIFICATION	BA-001;BA-002	INDEPENDENT_REPRODUCTION_OR_INDEPENDENTLY_VERIFIABLE_PROVENANCE_RECORDED	Single-party assertion without independent verification.	WORK_UNIT_DEFINED_EVIDENCE_OR_REVIEW_NOT_ACCEPTED	OPEN_NO_ACCEPTANCE
BA-005	BUILD_ATTESTATION	ROOT	EXTERNAL_SEMANTIC_POLICY_OR_CORRECTION_GAP_CONFIRMED	ATTESTATION_CONTINUITY_POLICY_REQUIRED	NONE	SUCCESSOR_AND_ROLLBACK_ATTESTATION_CONTINUITY	GC-06	DIRECT_GAP	CONTINUITY_POLICY	BA-001;BA-002;BA-003;BA-004	SUCCESSOR_AND_ROLLBACK_ATTESTATION_CONTINUITY_DEFINED	One-off proof that cannot govern update or rollback.	WORK_UNIT_DEFINED_EVIDENCE_OR_REVIEW_NOT_ACCEPTED	OPEN_NO_ACCEPTANCE
AD-001	ADAPTATION	ROOT	LOCAL_EVIDENCE_CONFIRMED_BOUNDED_REVIEW_INPUT	LOCAL_COMPLETE_RECIPE_FILE_AND_SIGNAL_INVENTORY_COLLECTED_REVIEW_REQUIRED	recipe-file-evidence.tsv;recipe-build-script-signal-evidence.tsv	SEMANTIC_DELTA_REVIEW	GC-04	LOCAL_FOUNDATION_COMPLETION	LOCAL_RECIPE_INVENTORY	NONE	COMPLETE_FILE_DELTA_PATCH_HOOK_SUBPACKAGE_AND_CONFIGURATION_INVENTORY_REVIEWED	Token presence alone or partial recipe excerpts.	WORK_UNIT_DEFINED_EVIDENCE_OR_REVIEW_NOT_ACCEPTED	OPEN_NO_ACCEPTANCE
AD-002	ADAPTATION	ROOT	LOCAL_EVIDENCE_CONFIRMED_BOUNDED_REVIEW_INPUT	LOCAL_UPSTREAM_DECLARATIONS_COLLECTED_SEMANTIC_COMPARISON_REQUIRED	root-evidence-observations.tsv	UPSTREAM_SEMANTIC_COMPARISON	GC-04	LOCAL_FOUNDATION_COMPLETION	PINNED_UPSTREAM_SEMANTIC_COMPARISON	AD-001	EVERY_RECIPE_DELTA_SEMANTICALLY_COMPARED_TO_PINNED_UPSTREAM_BASELINE	Filename/token matching without semantic interpretation.	WORK_UNIT_DEFINED_EVIDENCE_OR_REVIEW_NOT_ACCEPTED	OPEN_NO_ACCEPTANCE
AD-003	ADAPTATION	ROOT	EXTERNAL_SEMANTIC_POLICY_OR_CORRECTION_GAP_CONFIRMED	ADAPTATION_NECESSITY_CLASSIFICATION_REQUIRED	recipe-build-script-signal-evidence.tsv	ANDROID_TERMUX_NECESSITY_CLASSIFICATION	GC-04	DIRECT_GAP	SEMANTIC_NECESSITY_CLASSIFICATION	AD-001;AD-002	EVERY_DELTA_CLASSIFIED_WITH_PLATFORM_OR_PACKAGE_EVIDENCE	Assuming every Termux recipe change is runtime-required adaptation.	WORK_UNIT_DEFINED_EVIDENCE_OR_REVIEW_NOT_ACCEPTED	OPEN_NO_ACCEPTANCE
AD-004	ADAPTATION	OBJECT	LOCAL_EVIDENCE_CONFIRMED_BOUNDED_REVIEW_INPUT	LOCAL_ROOT_OBJECT_CROSSWALK_COLLECTED_IMPACT_REVIEW_REQUIRED	root-object-impact-crosswalk.tsv	SEMANTIC_OBJECT_IMPACT_REVIEW	GC-04	LOCAL_FOUNDATION_COMPLETION	OBJECT_IMPACT_REVIEW	AD-002;AD-003	EVERY_REVIEWED_DELTA_BOUND_TO_NAMED_OBJECT_OR_EXPLICIT_NO_IMPACT	Package-wide inference from a recipe-level change.	WORK_UNIT_DEFINED_EVIDENCE_OR_REVIEW_NOT_ACCEPTED	OPEN_NO_ACCEPTANCE
AD-005	ADAPTATION	ROOT	EXTERNAL_SEMANTIC_POLICY_OR_CORRECTION_GAP_CONFIRMED	ADAPTATION_UPDATE_ROLLBACK_POLICY_REQUIRED	NONE	ADAPTATION_UPDATE_AND_ROLLBACK_POLICY	GC-06	DIRECT_GAP	CONTINUITY_POLICY	AD-002;AD-003;AD-004	ADAPTATION_SUCCESSOR_AND_ROLLBACK_COMPATIBILITY_RULES_DEFINED	Current-version-only reasoning.	WORK_UNIT_DEFINED_EVIDENCE_OR_REVIEW_NOT_ACCEPTED	OPEN_NO_ACCEPTANCE
AD-006	ADAPTATION	ROOT	LOCAL_EVIDENCE_CONFIRMED_BOUNDED_REVIEW_INPUT	LOCAL_FULL_RECIPE_MANIFEST_COLLECTED_NO_TOKEN_SEMANTIC_REVIEW_REQUIRED	recipe-file-evidence.tsv	NO_TOKEN_FULL_SEMANTIC_REVIEW	GC-04	LOCAL_FOUNDATION_COMPLETION	FULL_NO_TOKEN_SEMANTIC_REVIEW	AD-001;AD-002	EVERY_NO_TOKEN_ROOT_FULLY_REVIEWED_WITHOUT_UPSTREAM_EQUIVALENCE_INFERENCE	Treating absence of collector tokens as proof of no adaptation.	WORK_UNIT_DEFINED_EVIDENCE_OR_REVIEW_NOT_ACCEPTED	OPEN_NO_ACCEPTANCE
CF-001	CONCRETE_FILENAME_DRIFT	OBJECT	EXTERNAL_SEMANTIC_POLICY_OR_CORRECTION_GAP_CONFIRMED	CONSUMER_BINDING_EVIDENCE_REQUIRED	NONE	SONAME_OR_STABLE_ALIAS_CONSUMER_BINDING	GC-05	DIRECT_GAP	CONSUMER_BINDING	NONE	BOUNDED_CONSUMER_OR_LOADER_EVIDENCE_CONFIRMS_SONAME_OR_STABLE_ALIAS_BINDING	SONAME equality of the provider object alone.	WORK_UNIT_DEFINED_EVIDENCE_OR_REVIEW_NOT_ACCEPTED	OPEN_NO_ACCEPTANCE
