requirement_id	expected_collection_state	expected_candidate_count	review_disposition	receipt_review_state	authority_state	next_action
AD-001	LOCAL_FOUNDATION_RECONFIRMED_CLOSURE_EVIDENCE_OPEN	0	LOCAL_FOUNDATION_ONLY	LOCAL_FOUNDATION_RECONFIRMED_REVIEW_INPUT_CLOSURE_OPEN	OPEN_NO_ACCEPTANCE	ACQUIRE_OR_AUTHOR_BOUNDED_EVIDENCE_THEN_RERUN_COLLECTOR
AD-002	LOCAL_FOUNDATION_RECONFIRMED_CLOSURE_EVIDENCE_OPEN	0	LOCAL_FOUNDATION_ONLY	LOCAL_FOUNDATION_RECONFIRMED_REVIEW_INPUT_CLOSURE_OPEN	OPEN_NO_ACCEPTANCE	ACQUIRE_OR_AUTHOR_BOUNDED_EVIDENCE_THEN_RERUN_COLLECTOR
AD-003	EVIDENCE_UNAVAILABLE_EXPLICIT_GAP	0	EXPLICIT_GAP_NO_CANDIDATE	NO_CANDIDATE_EVIDENCE_GAP_CONFIRMED_OPEN	OPEN_NO_ACCEPTANCE	ACQUIRE_OR_AUTHOR_BOUNDED_EVIDENCE_THEN_RERUN_COLLECTOR
AD-004	LOCAL_FOUNDATION_RECONFIRMED_CLOSURE_EVIDENCE_OPEN	0	LOCAL_FOUNDATION_ONLY	LOCAL_FOUNDATION_RECONFIRMED_REVIEW_INPUT_CLOSURE_OPEN	OPEN_NO_ACCEPTANCE	ACQUIRE_OR_AUTHOR_BOUNDED_EVIDENCE_THEN_RERUN_COLLECTOR
AD-005	EVIDENCE_UNAVAILABLE_EXPLICIT_GAP	0	EXPLICIT_GAP_NO_CANDIDATE	NO_CANDIDATE_EVIDENCE_GAP_CONFIRMED_OPEN	OPEN_NO_ACCEPTANCE	ACQUIRE_OR_AUTHOR_BOUNDED_EVIDENCE_THEN_RERUN_COLLECTOR
AD-006	LOCAL_FOUNDATION_RECONFIRMED_CLOSURE_EVIDENCE_OPEN	0	LOCAL_FOUNDATION_ONLY	LOCAL_FOUNDATION_RECONFIRMED_REVIEW_INPUT_CLOSURE_OPEN	OPEN_NO_ACCEPTANCE	ACQUIRE_OR_AUTHOR_BOUNDED_EVIDENCE_THEN_RERUN_COLLECTOR
BA-001	EVIDENCE_UNAVAILABLE_EXPLICIT_GAP	0	EXPLICIT_GAP_NO_CANDIDATE	NO_CANDIDATE_EVIDENCE_GAP_CONFIRMED_OPEN	OPEN_NO_ACCEPTANCE	ACQUIRE_OR_AUTHOR_BOUNDED_EVIDENCE_THEN_RERUN_COLLECTOR
BA-002	EVIDENCE_UNAVAILABLE_EXPLICIT_GAP	0	EXPLICIT_GAP_NO_CANDIDATE	NO_CANDIDATE_EVIDENCE_GAP_CONFIRMED_OPEN	OPEN_NO_ACCEPTANCE	ACQUIRE_OR_AUTHOR_BOUNDED_EVIDENCE_THEN_RERUN_COLLECTOR
BA-003	LOCAL_FOUNDATION_RECONFIRMED_CLOSURE_EVIDENCE_OPEN	0	LOCAL_FOUNDATION_ONLY	LOCAL_FOUNDATION_RECONFIRMED_REVIEW_INPUT_CLOSURE_OPEN	OPEN_NO_ACCEPTANCE	ACQUIRE_OR_AUTHOR_BOUNDED_EVIDENCE_THEN_RERUN_COLLECTOR
BA-004	EVIDENCE_UNAVAILABLE_EXPLICIT_GAP	0	EXPLICIT_GAP_NO_CANDIDATE	NO_CANDIDATE_EVIDENCE_GAP_CONFIRMED_OPEN	OPEN_NO_ACCEPTANCE	ACQUIRE_OR_AUTHOR_BOUNDED_EVIDENCE_THEN_RERUN_COLLECTOR
BA-005	EVIDENCE_UNAVAILABLE_EXPLICIT_GAP	0	EXPLICIT_GAP_NO_CANDIDATE	NO_CANDIDATE_EVIDENCE_GAP_CONFIRMED_OPEN	OPEN_NO_ACCEPTANCE	ACQUIRE_OR_AUTHOR_BOUNDED_EVIDENCE_THEN_RERUN_COLLECTOR
CF-001	EVIDENCE_UNAVAILABLE_EXPLICIT_GAP	0	EXPLICIT_GAP_NO_CANDIDATE	NO_CANDIDATE_EVIDENCE_GAP_CONFIRMED_OPEN	OPEN_NO_ACCEPTANCE	ACQUIRE_OR_AUTHOR_BOUNDED_EVIDENCE_THEN_RERUN_COLLECTOR
CF-002	LOCAL_FOUNDATION_RECONFIRMED_CLOSURE_EVIDENCE_OPEN	0	LOCAL_FOUNDATION_ONLY	LOCAL_FOUNDATION_RECONFIRMED_REVIEW_INPUT_CLOSURE_OPEN	OPEN_NO_ACCEPTANCE	ACQUIRE_OR_AUTHOR_BOUNDED_EVIDENCE_THEN_RERUN_COLLECTOR
CF-003	EVIDENCE_UNAVAILABLE_EXPLICIT_GAP	0	EXPLICIT_GAP_NO_CANDIDATE	NO_CANDIDATE_EVIDENCE_GAP_CONFIRMED_OPEN	OPEN_NO_ACCEPTANCE	ACQUIRE_OR_AUTHOR_BOUNDED_EVIDENCE_THEN_RERUN_COLLECTOR
CF-004	EVIDENCE_UNAVAILABLE_EXPLICIT_GAP	0	EXPLICIT_GAP_NO_CANDIDATE	NO_CANDIDATE_EVIDENCE_GAP_CONFIRMED_OPEN	OPEN_NO_ACCEPTANCE	ACQUIRE_OR_AUTHOR_BOUNDED_EVIDENCE_THEN_RERUN_COLLECTOR
OJ-001	EVIDENCE_UNAVAILABLE_EXPLICIT_GAP	0	EXPLICIT_GAP_NO_CANDIDATE	NO_CANDIDATE_EVIDENCE_GAP_CONFIRMED_OPEN	OPEN_NO_ACCEPTANCE	ACQUIRE_OR_AUTHOR_BOUNDED_EVIDENCE_THEN_RERUN_COLLECTOR
